flight_id,flight_date,carrier_code,flight_number,origin_airport,dest_airport,route,scheduled_dep_time,departure_delay_minutes,arrival_delay_minutes,is_arr_on_time,is_dep_on_time,cancelled,cancellation_reason,diverted,air_time_minutes,distance_miles,taxi_out_minutes,taxi_in_minutes,carrier_delay_minutes,weather_delay_minutes,nas_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes,month,day_of_week
fl_0000011,2024-04-23,G4,1040,BOS,SEA,BOS-SEA,16:45,27.0,36.0,0,0,0,,0,288.0,2240,29,18,1.6,12.5,4.8,3.4,13.7,4,Tuesday
fl_0000012,2024-02-28,UA,7352,LGA,LAS,LGA-LAS,21:00,5.0,9.0,1,1,0,,0,316.0,2361,24,14,0.0,0.0,0.0,0.0,0.0,2,Wednesday
fl_0000013,2024-02-18,UA,243,ORD,SEA,ORD-SEA,18:15,1.0,-7.0,1,1,0,,0,181.0,1337,27,16,0.0,0.0,0.0,0.0,0.0,2,Sunday
fl_0000014,2024-02-05,AA,286,IAD,MIA,IAD-MIA,13:45,6.0,4.0,1,1,0,,0,134.0,864,28,15,0.0,0.0,0.0,0.0,0.0,2,Monday
fl_0000015,2024-02-05,UA,5884,LAS,DFW,LAS-DFW,12:00,,,0,0,1,Carrier,0,242.0,1827,25,8,0.0,0.0,0.0,0.0,0.0,2,Monday
fl_0000016,2024-06-14,NK,7498,BOS,DEN,BOS-DEN,22:30,119.0,127.0,0,0,0,,0,230.0,1651,22,16,41.5,11.1,17.2,28.5,28.7,6,Friday
fl_0000017,2024-02-11,UA,8484,ORD,PHX,ORD-PHX,18:15,13.0,12.0,1,1,0,,0,124.0,821,34,8,0.0,0.0,0.0,0.0,0.0,2,Sunday
fl_0000018,2024-01-20,WN,1963,SLC,LAS,SLC-LAS,10:00,-4.0,-13.0,1,1,0,,0,115.0,762,33,5,0.0,0.0,0.0,0.0,0.0,1,Saturday
fl_0000019,2024-04-19,DL,8646,MSP,SEA,MSP-SEA,16:00,25.0,,0,0,0,,1,235.0,1581,12,11,0.0,45.0,20.0,0.0,0.0,4,Friday
fl_0000020,2024-01-22,NK,1953,SFO,ORD,SFO-ORD,16:30,3.0,2.0,1,1,0,,0,269.0,1926,12,7,0.0,0.0,0.0,0.0,0.0,1,Monday
fl_0000021,2024-06-05,UA,8371,LGA,BOS,LGA-BOS,22:15,2.0,3.0,1,1,0,,0,214.0,1496,23,17,0.0,0.0,0.0,0.0,0.0,6,Wednesday
fl_0000022,2024-01-21,AA,2688,PHL,BOS,PHL-BOS,06:15,-2.0,-10.0,1,1,0,,0,177.0,1288,29,16,0.0,0.0,0.0,0.0,0.0,1,Sunday
fl_0000023,2024-03-14,UA,1532,SLC,MCO,SLC-MCO,19:30,4.0,-4.0,1,1,0,,0,251.0,1679,28,12,0.0,0.0,0.0,0.0,0.0,3,Thursday
fl_0000024,2024-04-24,WN,7555,MSP,BWI,MSP-BWI,09:15,9.0,0.0,1,1,0,,0,268.0,2068,29,13,0.0,0.0,0.0,0.0,0.0,4,Wednesday
fl_0000025,2024-02-10,UA,8393,LAS,SLC,LAS-SLC,22:15,3.0,3.0,1,1,0,,0,362.0,2579,22,15,0.0,0.0,0.0,0.0,0.0,2,Saturday
fl_0000026,2024-03-17,DL,8290,CLT,SLC,CLT-SLC,15:30,-4.0,-7.0,1,1,0,,0,92.0,556,14,5,0.0,0.0,0.0,0.0,0.0,3,Sunday
fl_0000027,2024-02-10,NK,5491,SFO,BOS,SFO-BOS,22:30,5.0,4.0,1,1,0,,0,265.0,1964,34,16,0.0,0.0,0.0,0.0,0.0,2,Saturday
fl_0000028,2024-04-03,DL,7418,FLL,EWR,FLL-EWR,19:00,-7.0,-7.0,1,1,0,,0,143.0,935,11,18,0.0,0.0,0.0,0.0,0.0,4,Wednesday
fl_0000029,2024-06-08,NK,7896,LAS,SEA,LAS-SEA,14:30,-15.0,-22.0,1,1,0,,0,365.0,2504,26,5,0.0,0.0,0.0,0.0,0.0,6,Saturday
fl_0000030,2024-01-04,B6,2100,ATL,IAD,ATL-IAD,11:45,-15.0,-11.0,1,1,0,,0,315.0,2205,32,5,0.0,0.0,0.0,0.0,0.0,1,Thursday
fl_0000031,2024-05-19,DL,7342,PHL,LAX,PHL-LAX,19:30,-2.0,0.0,1,1,0,,0,57.0,301,34,7,0.0,0.0,0.0,0.0,0.0,5,Sunday
fl_0000032,2024-04-02,AA,8945,SFO,ORD,SFO-ORD,17:00,-7.0,-11.0,1,1,0,,0,333.0,2362,12,7,0.0,0.0,0.0,0.0,0.0,4,Tuesday
fl_0000033,2024-05-05,AA,4753,ORD,SFO,ORD-SFO,08:45,5.0,0.0,1,1,0,,0,123.0,812,19,16,0.0,0.0,0.0,0.0,0.0,5,Sunday
fl_0000034,2024-02-25,AA,4625,EWR,SEA,EWR-SEA,08:45,-5.0,-15.0,1,1,0,,0,64.0,380,19,9,0.0,0.0,0.0,0.0,0.0,2,Sunday
fl_0000035,2024-03-24,AA,1179,BWI,SFO,BWI-SFO,17:15,6.0,10.0,1,1,0,,0,251.0,1784,28,6,0.0,0.0,0.0,0.0,0.0,3,Sunday
fl_0000036,2024-05-04,DL,3337,ORD,JFK,ORD-JFK,11:45,5.0,7.0,1,1,0,,0,278.0,1965,30,9,0.0,0.0,0.0,0.0,0.0,5,Saturday
fl_0000037,2024-05-11,AA,7864,FLL,EWR,FLL-EWR,16:45,46.0,51.0,0,0,0,,0,87.0,580,27,19,10.2,14.9,8.0,12.1,5.7,5,Saturday
fl_0000038,2024-02-12,UA,6108,ORD,CLT,ORD-CLT,08:00,-8.0,-5.0,1,1,0,,0,196.0,1353,18,11,0.0,0.0,0.0,0.0,0.0,2,Monday
fl_0000039,2024-04-05,UA,8555,MIA,IAD,MIA-IAD,07:00,-5.0,-11.0,1,1,0,,0,92.0,600,13,9,0.0,0.0,0.0,0.0,0.0,4,Friday
fl_0000040,2024-01-14,AA,7732,DTW,PHL,DTW-PHL,22:45,10.0,6.0,1,1,0,,0,240.0,1777,21,18,0.0,0.0,0.0,0.0,0.0,1,Sunday
fl_0000041,2024-02-02,UA,3763,MCO,BOS,MCO-BOS,21:30,-5.0,-13.0,1,1,0,,0,128.0,818,19,5,0.0,0.0,0.0,0.0,0.0,2,Friday
fl_0000042,2024-01-08,WN,6546,PHL,ATL,PHL-ATL,20:00,6.0,-2.0,1,1,0,,0,292.0,1980,30,14,0.0,0.0,0.0,0.0,0.0,1,Monday
fl_0000043,2024-01-15,DL,5259,SAN,MIA,SAN-MIA,06:45,130.0,132.0,0,0,0,,0,329.0,2557,22,7,8.7,62.8,49.2,5.3,6.0,1,Monday
fl_0000044,2024-03-14,DL,7481,FLL,LGA,FLL-LGA,16:30,12.0,12.0,1,1,0,,0,124.0,875,15,8,0.0,0.0,0.0,0.0,0.0,3,Thursday
fl_0000045,2024-04-21,B6,6985,LAS,BOS,LAS-BOS,15:45,-1.0,-8.0,1,1,0,,0,278.0,1897,20,15,0.0,0.0,0.0,0.0,0.0,4,Sunday
fl_0000046,2024-03-25,WN,3276,SEA,MCO,SEA-MCO,07:15,35.0,38.0,0,0,0,,0,125.0,827,29,5,4.0,9.7,9.1,6.7,8.4,3,Monday
fl_0000047,2024-05-13,NK,7098,ORD,LAX,ORD-LAX,18:15,-9.0,-7.0,1,1,0,,0,151.0,951,29,19,0.0,0.0,0.0,0.0,0.0,5,Monday
fl_0000048,2024-04-13,AS,5472,JFK,MCO,JFK-MCO,12:00,10.0,4.0,1,1,0,,0,167.0,1125,25,13,0.0,0.0,0.0,0.0,0.0,4,Saturday
fl_0000049,2024-06-25,NK,5790,PHL,BOS,PHL-BOS,17:45,-11.0,-19.0,1,1,0,,0,160.0,1116,30,12,0.0,0.0,0.0,0.0,0.0,6,Tuesday
fl_0000050,2024-03-23,UA,4212,IAH,ORD,IAH-ORD,13:00,5.0,-1.0,1,1,0,,0,111.0,754,22,14,0.0,0.0,0.0,0.0,0.0,3,Saturday
fl_0000051,2024-06-23,DL,3073,DTW,CLT,DTW-CLT,20:00,-1.0,-10.0,1,1,0,,0,332.0,2304,32,7,0.0,0.0,0.0,0.0,0.0,6,Sunday
fl_0000052,2024-05-18,F9,6611,SFO,PHX,SFO-PHX,06:45,-9.0,-18.0,1,1,0,,0,316.0,2328,10,7,0.0,0.0,0.0,0.0,0.0,5,Saturday
fl_0000053,2024-06-26,DL,5850,IAD,FLL,IAD-FLL,08:15,6.0,5.0,1,1,0,,0,198.0,1410,33,16,0.0,0.0,0.0,0.0,0.0,6,Wednesday
fl_0000054,2024-01-22,DL,5892,PHL,JFK,PHL-JFK,20:45,-13.0,-19.0,1,1,0,,0,300.0,2128,16,6,0.0,0.0,0.0,0.0,0.0,1,Monday
fl_0000055,2024-03-12,DL,3418,BWI,LAS,BWI-LAS,08:00,-10.0,-19.0,1,1,0,,0,101.0,605,30,9,0.0,0.0,0.0,0.0,0.0,3,Tuesday
fl_0000056,2024-06-07,NK,4708,IAD,BOS,IAD-BOS,22:15,-5.0,-13.0,1,1,0,,0,231.0,1753,21,19,0.0,0.0,0.0,0.0,0.0,6,Friday
fl_0000057,2024-01-23,DL,3041,MSP,EWR,MSP-EWR,08:30,10.0,11.0,1,1,0,,0,273.0,1810,19,15,0.0,0.0,0.0,0.0,0.0,1,Tuesday
fl_0000058,2024-06-22,AA,1793,LAX,BOS,LAX-BOS,11:30,26.0,,0,0,0,,1,180.0,1273,18,16,0.0,45.0,20.0,0.0,0.0,6,Saturday
fl_0000059,2024-03-16,AA,1144,PHX,LAX,PHX-LAX,17:45,-11.0,-16.0,1,1,0,,0,236.0,1587,27,7,0.0,0.0,0.0,0.0,0.0,3,Saturday
fl_0000060,2024-06-08,DL,4829,PHX,BOS,PHX-BOS,07:30,,,0,0,1,NAS,0,49.0,276,25,18,0.0,0.0,0.0,0.0,0.0,6,Saturday
fl_0000061,2024-03-29,NK,4829,PHX,LAX,PHX-LAX,13:30,-10.0,-13.0,1,1,0,,0,289.0,2238,27,13,0.0,0.0,0.0,0.0,0.0,3,Friday
fl_0000062,2024-02-14,DL,4068,MCO,LGA,MCO-LGA,11:00,7.0,5.0,1,1,0,,0,151.0,974,13,19,0.0,0.0,0.0,0.0,0.0,2,Wednesday
fl_0000063,2024-03-03,AA,1592,PHL,PHX,PHL-PHX,18:45,-4.0,-6.0,1,1,0,,0,301.0,2158,33,12,0.0,0.0,0.0,0.0,0.0,3,Sunday
fl_0000064,2024-04-06,UA,5865,SAN,IAD,SAN-IAD,14:00,9.0,6.0,1,1,0,,0,57.0,322,27,19,0.0,0.0,0.0,0.0,0.0,4,Saturday
fl_0000065,2024-05-07,NK,8322,CLT,SEA,CLT-SEA,14:15,52.0,58.0,0,0,0,,0,351.0,2514,28,8,12.1,24.3,6.7,7.2,7.7,5,Tuesday
fl_0000066,2024-02-21,WN,4061,DFW,MCO,DFW-MCO,10:45,-2.0,-7.0,1,1,0,,0,57.0,338,29,13,0.0,0.0,0.0,0.0,0.0,2,Wednesday
fl_0000067,2024-04-22,B6,2421,CLT,ATL,CLT-ATL,19:30,-9.0,-7.0,1,1,0,,0,144.0,936,18,18,0.0,0.0,0.0,0.0,0.0,4,Monday
fl_0000068,2024-03-29,B6,1584,SFO,FLL,SFO-FLL,22:15,-1.0,-1.0,1,1,0,,0,382.0,2590,11,17,0.0,0.0,0.0,0.0,0.0,3,Friday
fl_0000069,2024-01-18,UA,1986,ORD,CLT,ORD-CLT,11:30,-7.0,-9.0,1,1,0,,0,252.0,1927,32,18,0.0,0.0,0.0,0.0,0.0,1,Thursday
fl_0000070,2024-05-23,WN,3818,DTW,IAD,DTW-IAD,17:30,-11.0,-18.0,1,1,0,,0,226.0,1488,30,10,0.0,0.0,0.0,0.0,0.0,5,Thursday
fl_0000071,2024-06-21,AS,370,SFO,DEN,SFO-DEN,10:30,8.0,6.0,1,1,0,,0,142.0,915,18,5,0.0,0.0,0.0,0.0,0.0,6,Friday
fl_0000072,2024-04-07,UA,3114,FLL,PHX,FLL-PHX,18:45,11.0,12.0,1,1,0,,0,310.0,2281,25,10,0.0,0.0,0.0,0.0,0.0,4,Sunday
fl_0000073,2024-03-08,AA,4461,LGA,DTW,LGA-DTW,15:45,7.0,11.0,1,1,0,,0,298.0,2313,30,17,0.0,0.0,0.0,0.0,0.0,3,Friday
fl_0000074,2024-06-18,UA,2201,LGA,EWR,LGA-EWR,21:15,11.0,8.0,1,1,0,,0,195.0,1279,20,8,0.0,0.0,0.0,0.0,0.0,6,Tuesday
fl_0000075,2024-06-09,B6,1428,LAX,JFK,LAX-JFK,06:30,22.0,22.0,0,0,0,,0,248.0,1772,34,12,1.4,10.3,3.0,7.2,0.0,6,Sunday
fl_0000076,2024-03-15,WN,7750,EWR,MSP,EWR-MSP,15:30,105.0,111.0,0,0,0,,0,60.0,345,28,13,28.3,5.8,51.4,7.4,18.0,3,Friday
fl_0000077,2024-04-07,DL,946,BWI,ORD,BWI-ORD,19:30,0.0,-3.0,1,1,0,,0,132.0,942,17,8,0.0,0.0,0.0,0.0,0.0,4,Sunday
fl_0000078,2024-04-26,DL,105,IAH,LGA,IAH-LGA,08:00,,,0,0,1,Weather,0,281.0,2138,33,16,0.0,0.0,0.0,0.0,0.0,4,Friday
fl_0000079,2024-03-25,DL,7623,FLL,SEA,FLL-SEA,13:45,-1.0,-1.0,1,1,0,,0,339.0,2338,33,17,0.0,0.0,0.0,0.0,0.0,3,Monday
fl_0000080,2024-06-27,UA,5039,BWI,ORD,BWI-ORD,14:15,-11.0,-15.0,1,1,0,,0,349.0,2483,31,7,0.0,0.0,0.0,0.0,0.0,6,Thursday
fl_0000081,2024-06-10,NK,4418,DEN,ATL,DEN-ATL,17:15,25.0,32.0,0,0,0,,0,141.0,909,34,11,2.7,1.3,16.1,8.2,3.7,6,Monday
fl_0000082,2024-01-20,UA,662,PHX,DTW,PHX-DTW,14:15,18.0,20.0,0,0,0,,0,122.0,862,32,5,6.3,1.5,3.2,0.7,8.3,1,Saturday
fl_0000083,2024-01-16,AS,3458,BWI,SEA,BWI-SEA,07:45,-4.0,-10.0,1,1,0,,0,255.0,1791,34,16,0.0,0.0,0.0,0.0,0.0,1,Tuesday
fl_0000084,2024-02-03,UA,6793,SAN,JFK,SAN-JFK,16:00,-9.0,-14.0,1,1,0,,0,331.0,2460,21,6,0.0,0.0,0.0,0.0,0.0,2,Saturday
fl_0000085,2024-01-02,DL,6934,SAN,SLC,SAN-SLC,07:15,-5.0,-10.0,1,1,0,,0,179.0,1253,14,19,0.0,0.0,0.0,0.0,0.0,1,Tuesday
fl_0000086,2024-03-08,F9,6362,MCO,BOS,MCO-BOS,20:15,13.0,15.0,0,1,0,,0,112.0,748,10,10,0.0,0.0,0.0,0.0,0.0,3,Friday
fl_0000087,2024-02-28,WN,3905,BOS,CLT,BOS-CLT,09:00,24.0,32.0,0,0,0,,0,281.0,2027,24,16,2.3,18.4,6.8,3.1,1.4,2,Wednesday
fl_0000088,2024-03-31,G4,324,PHL,SLC,PHL-SLC,06:15,43.0,46.0,0,0,0,,0,327.0,2408,14,8,2.3,3.0,11.7,16.5,12.5,3,Sunday
fl_0000089,2024-02-20,DL,1383,MSP,LAS,MSP-LAS,09:00,3.0,6.0,1,1,0,,0,207.0,1528,22,9,0.0,0.0,0.0,0.0,0.0,2,Tuesday
fl_0000090,2024-04-02,NK,1746,CLT,LAS,CLT-LAS,18:15,42.0,44.0,0,0,0,,0,138.0,911,14,6,0.9,19.5,12.7,0.9,10.0,4,Tuesday
fl_0000091,2024-05-04,UA,4661,SLC,FLL,SLC-FLL,14:00,9.0,7.0,1,1,0,,0,64.0,388,22,8,0.0,0.0,0.0,0.0,0.0,5,Saturday
fl_0000092,2024-03-27,UA,4420,BOS,DEN,BOS-DEN,09:15,-9.0,-13.0,1,1,0,,0,164.0,1190,22,16,0.0,0.0,0.0,0.0,0.0,3,Wednesday
fl_0000093,2024-02-26,UA,5549,SLC,BOS,SLC-BOS,21:45,2.0,-7.0,1,1,0,,0,177.0,1229,30,14,0.0,0.0,0.0,0.0,0.0,2,Monday
fl_0000094,2024-06-20,UA,157,DTW,IAH,DTW-IAH,21:45,1.0,-2.0,1,1,0,,0,270.0,1953,22,7,0.0,0.0,0.0,0.0,0.0,6,Thursday
fl_0000095,2024-01-19,UA,6630,SEA,SAN,SEA-SAN,09:00,4.0,7.0,1,1,0,,0,375.0,2563,22,15,0.0,0.0,0.0,0.0,0.0,1,Friday
fl_0000096,2024-05-01,UA,8938,ORD,SAN,ORD-SAN,08:15,-4.0,-3.0,1,1,0,,0,58.0,326,18,10,0.0,0.0,0.0,0.0,0.0,5,Wednesday
fl_0000097,2024-01-19,DL,2692,MIA,SAN,MIA-SAN,22:15,-15.0,-12.0,1,1,0,,0,200.0,1466,17,12,0.0,0.0,0.0,0.0,0.0,1,Friday
fl_0000098,2024-03-17,WN,1830,EWR,PHL,EWR-PHL,13:45,2.0,2.0,1,1,0,,0,300.0,2207,34,5,0.0,0.0,0.0,0.0,0.0,3,Sunday
fl_0000099,2024-01-22,G4,715,PHL,JFK,PHL-JFK,16:15,-8.0,-4.0,1,1,0,,0,248.0,1674,28,14,0.0,0.0,0.0,0.0,0.0,1,Monday
fl_0000100,2024-03-13,F9,7372,MCO,ATL,MCO-ATL,07:45,28.0,29.0,0,0,0,,0,318.0,2434,27,12,10.7,11.6,1.9,3.2,1.6,3,Wednesday
fl_0000101,2024-03-02,AA,3501,LAX,DFW,LAX-DFW,09:15,10.0,4.0,1,1,0,,0,320.0,2475,28,7,0.0,0.0,0.0,0.0,0.0,3,Saturday
fl_0000102,2024-02-01,DL,2933,DFW,BWI,DFW-BWI,08:30,47.0,48.0,0,0,0,,0,91.0,585,23,11,14.5,11.0,1.9,1.7,19.0,2,Thursday
fl_0000103,2024-05-16,HA,3050,IAD,BWI,IAD-BWI,10:15,4.0,7.0,1,1,0,,0,157.0,1168,25,9,0.0,0.0,0.0,0.0,0.0,5,Thursday
fl_0000104,2024-01-16,DL,8589,ATL,IAH,ATL-IAH,21:30,40.0,47.0,0,0,0,,0,316.0,2231,28,10,4.8,4.6,0.8,11.0,25.8,1,Tuesday
fl_0000105,2024-06-09,UA,3990,CLT,BWI,CLT-BWI,12:00,6.0,4.0,1,1,0,,0,215.0,1470,15,5,0.0,0.0,0.0,0.0,0.0,6,Sunday
fl_0000106,2024-03-11,NK,809,IAD,SFO,IAD-SFO,14:45,17.0,25.0,0,0,0,,0,322.0,2416,22,12,1.9,6.4,6.5,0.8,9.4,3,Monday
fl_0000107,2024-02-27,DL,4141,DTW,MIA,DTW-MIA,22:15,5.0,8.0,1,1,0,,0,308.0,2293,25,11,0.0,0.0,0.0,0.0,0.0,2,Tuesday
fl_0000108,2024-05-12,DL,839,JFK,DTW,JFK-DTW,18:15,-13.0,-19.0,1,1,0,,0,160.0,1133,30,5,0.0,0.0,0.0,0.0,0.0,5,Sunday
fl_0000109,2024-05-27,UA,1378,LGA,ORD,LGA-ORD,07:15,6.0,10.0,1,1,0,,0,223.0,1476,25,9,0.0,0.0,0.0,0.0,0.0,5,Monday
fl_0000110,2024-04-09,DL,5276,CLT,FLL,CLT-FLL,18:00,-10.0,-13.0,1,1,0,,0,101.0,653,33,8,0.0,0.0,0.0,0.0,0.0,4,Tuesday
fl_0000111,2024-04-24,AA,4810,BWI,FLL,BWI-FLL,12:15,10.0,8.0,1,1,0,,0,349.0,2418,33,6,0.0,0.0,0.0,0.0,0.0,4,Wednesday
fl_0000112,2024-05-14,WN,7349,CLT,IAH,CLT-IAH,09:00,10.0,7.0,1,1,0,,0,260.0,1904,10,9,0.0,0.0,0.0,0.0,0.0,5,Tuesday
fl_0000113,2024-05-28,DL,8221,PHX,DTW,PHX-DTW,15:30,-1.0,-8.0,1,1,0,,0,249.0,1871,30,7,0.0,0.0,0.0,0.0,0.0,5,Tuesday
fl_0000114,2024-05-17,B6,4615,SLC,DFW,SLC-DFW,06:30,1.0,3.0,1,1,0,,0,280.0,2131,11,13,0.0,0.0,0.0,0.0,0.0,5,Friday
fl_0000115,2024-02-27,B6,6428,LAX,PHX,LAX-PHX,15:00,-6.0,-4.0,1,1,0,,0,54.0,315,27,16,0.0,0.0,0.0,0.0,0.0,2,Tuesday
fl_0000116,2024-02-18,DL,3194,DEN,BOS,DEN-BOS,20:15,12.0,9.0,1,1,0,,0,155.0,1129,12,11,0.0,0.0,0.0,0.0,0.0,2,Sunday
fl_0000117,2024-05-21,AA,4335,IAD,PHX,IAD-PHX,06:00,-14.0,-21.0,1,1,0,,0,309.0,2124,28,9,0.0,0.0,0.0,0.0,0.0,5,Tuesday
fl_0000118,2024-01-26,B6,5898,BWI,PHL,BWI-PHL,21:00,-14.0,-11.0,1,1,0,,0,306.0,2290,22,12,0.0,0.0,0.0,0.0,0.0,1,Friday
fl_0000119,2024-03-31,UA,3972,MIA,BWI,MIA-BWI,19:45,12.0,7.0,1,1,0,,0,313.0,2161,31,19,0.0,0.0,0.0,0.0,0.0,3,Sunday
fl_0000120,2024-04-24,DL,8427,SEA,IAH,SEA-IAH,22:15,35.0,39.0,0,0,0,,0,125.0,781,10,11,3.6,5.5,0.7,16.1,13.1,4,Wednesday
fl_0000121,2024-03-10,HA,3814,PHL,IAH,PHL-IAH,21:15,-9.0,-9.0,1,1,0,,0,141.0,896,29,16,0.0,0.0,0.0,0.0,0.0,3,Sunday
fl_0000122,2024-02-25,AS,8713,BWI,SAN,BWI-SAN,15:30,45.0,48.0,0,0,0,,0,177.0,1257,13,13,14.6,19.0,8.8,0.0,5.6,2,Sunday
fl_0000123,2024-01-09,UA,4843,JFK,LGA,JFK-LGA,19:45,-12.0,-9.0,1,1,0,,0,365.0,2454,10,18,0.0,0.0,0.0,0.0,0.0,1,Tuesday
fl_0000124,2024-03-23,AA,1064,IAD,BOS,IAD-BOS,08:45,1.0,5.0,1,1,0,,0,124.0,834,22,15,0.0,0.0,0.0,0.0,0.0,3,Saturday
fl_0000125,2024-01-01,WN,7780,DEN,SEA,DEN-SEA,17:15,-5.0,-11.0,1,1,0,,0,269.0,2068,26,6,0.0,0.0,0.0,0.0,0.0,1,Monday
fl_0000126,2024-04-12,AA,4929,CLT,EWR,CLT-EWR,20:30,-8.0,-12.0,1,1,0,,0,141.0,957,12,5,0.0,0.0,0.0,0.0,0.0,4,Friday
fl_0000127,2024-05-05,F9,7817,SEA,DFW,SEA-DFW,18:45,-13.0,-12.0,1,1,0,,0,324.0,2447,28,9,0.0,0.0,0.0,0.0,0.0,5,Sunday
fl_0000128,2024-05-10,AA,5352,BWI,IAH,BWI-IAH,16:30,8.0,8.0,1,1,0,,0,58.0,340,13,18,0.0,0.0,0.0,0.0,0.0,5,Friday
fl_0000129,2024-04-22,DL,5347,ORD,SEA,ORD-SEA,18:30,-2.0,-8.0,1,1,0,,0,312.0,2302,32,10,0.0,0.0,0.0,0.0,0.0,4,Monday
fl_0000130,2024-04-09,DL,2777,ORD,LGA,ORD-LGA,07:00,72.0,74.0,0,0,0,,0,333.0,2597,22,10,14.8,4.2,0.6,21.3,33.1,4,Tuesday
fl_0000131,2024-02-25,AA,6482,SLC,DEN,SLC-DEN,19:30,-15.0,-16.0,1,1,0,,0,260.0,1809,31,5,0.0,0.0,0.0,0.0,0.0,2,Sunday
fl_0000132,2024-04-15,AA,5722,CLT,PHX,CLT-PHX,17:45,-10.0,-18.0,1,1,0,,0,285.0,1980,30,15,0.0,0.0,0.0,0.0,0.0,4,Monday
fl_0000133,2024-06-16,AA,8053,DFW,SFO,DFW-SFO,20:30,13.0,8.0,1,1,0,,0,210.0,1524,17,10,0.0,0.0,0.0,0.0,0.0,6,Sunday
fl_0000134,2024-02-13,UA,2511,DFW,CLT,DFW-CLT,20:00,6.0,9.0,1,1,0,,0,74.0,472,15,9,0.0,0.0,0.0,0.0,0.0,2,Tuesday
fl_0000135,2024-06-24,WN,2007,LAX,MIA,LAX-MIA,15:00,,,0,0,1,Carrier,0,58.0,304,29,7,0.0,0.0,0.0,0.0,0.0,6,Monday
fl_0000136,2024-06-06,DL,3955,DTW,BWI,DTW-BWI,21:15,12.0,11.0,1,1,0,,0,100.0,602,16,11,0.0,0.0,0.0,0.0,0.0,6,Thursday
fl_0000137,2024-03-31,UA,5604,FLL,IAH,FLL-IAH,07:45,7.0,11.0,1,1,0,,0,288.0,2011,33,14,0.0,0.0,0.0,0.0,0.0,3,Sunday
fl_0000138,2024-01-14,NK,771,SLC,BWI,SLC-BWI,10:30,-10.0,-7.0,1,1,0,,0,57.0,296,11,8,0.0,0.0,0.0,0.0,0.0,1,Sunday
fl_0000139,2024-03-03,AA,5829,BWI,SEA,BWI-SEA,07:00,113.0,117.0,0,0,0,,0,195.0,1445,12,17,27.4,8.0,32.7,38.5,10.4,3,Sunday
fl_0000140,2024-06-06,DL,4741,SEA,SAN,SEA-SAN,08:45,7.0,-3.0,1,1,0,,0,242.0,1801,26,5,0.0,0.0,0.0,0.0,0.0,6,Thursday
fl_0000141,2024-04-14,NK,347,JFK,ORD,JFK-ORD,21:30,12.0,12.0,1,1,0,,0,307.0,2148,22,12,0.0,0.0,0.0,0.0,0.0,4,Sunday
fl_0000142,2024-03-14,AA,870,SLC,EWR,SLC-EWR,06:45,-11.0,-7.0,1,1,0,,0,275.0,1842,19,7,0.0,0.0,0.0,0.0,0.0,3,Thursday
