case_number,incident_date,primary_type,crime_category,description,location_description,arrest,domestic,district,ward,community_area,fbi_code,year,month,day_of_week,hour_of_day,year_month
JB000011,2023-10-26 20:59:00,MOTOR VEHICLE THEFT,Property,REPORTED MOTOR VEHICLE THEFT INCIDENT,GROCERY FOOD STORE,0,0,19,48,30,05,2023,10,Thursday,20,2023-10
JB000012,2023-08-18 19:09:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,0,7,6,7,14,2023,8,Friday,19,2023-08
JB000013,2022-01-18 18:54:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,1,6,42,47,06,2022,1,Tuesday,18,2022-01
JB000014,2022-11-28 15:23:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,RESTAURANT,0,0,2,45,36,11,2022,11,Monday,15,2022-11
JB000015,2023-06-03 00:34:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,SIDEWALK,0,0,7,28,28,08B,2023,6,Saturday,0,2023-06
JB000016,2023-10-08 06:01:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,RESIDENCE,0,0,24,9,51,26,2023,10,Sunday,6,2023-10
JB000017,2023-05-25 10:18:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,RESIDENCE,0,0,25,27,53,08A,2023,5,Thursday,10,2023-05
JB000018,2022-08-29 15:52:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,STREET,0,0,24,13,7,26,2022,8,Monday,15,2022-08
JB000019,2023-07-04 03:44:00,THEFT,Property,REPORTED THEFT INCIDENT,PARKING LOT / GARAGE,0,0,8,26,27,11,2023,7,Tuesday,3,2023-07
JB000020,2022-08-24 21:04:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,COMMERCIAL / BUSINESS OFFICE,0,0,2,18,30,18,2022,8,Wednesday,21,2022-08
JB000021,2023-08-14 00:29:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,COMMERCIAL / BUSINESS OFFICE,0,1,19,31,71,06,2023,8,Monday,0,2023-08
JB000022,2023-08-14 08:37:00,CRIMINAL TRESPASS,Property,REPORTED CRIMINAL TRESPASS INCIDENT,STREET,1,0,14,44,11,18,2023,8,Monday,8,2023-08
JB000023,2023-11-25 20:18:00,BURGLARY,Property,REPORTED BURGLARY INCIDENT,STREET,0,0,17,16,39,11,2023,11,Saturday,20,2023-11
JB000024,2023-12-24 06:36:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,SMALL RETAIL STORE,0,0,2,20,6,26,2023,12,Sunday,6,2023-12
JB000025,2022-09-17 12:12:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,RESIDENCE,1,0,17,10,43,05,2022,9,Saturday,12,2022-09
JB000026,2023-04-27 19:34:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,PARKING LOT / GARAGE,0,0,6,49,32,08A,2023,4,Thursday,19,2023-04
JB000027,2022-10-24 11:52:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,0,0,5,19,58,14,2022,10,Monday,11,2022-10
JB000028,2023-09-03 15:29:00,THEFT,Property,REPORTED THEFT INCIDENT,APARTMENT,0,0,14,8,10,03,2023,9,Sunday,15,2023-09
JB000029,2022-08-16 13:20:00,ROBBERY,Violent,REPORTED ROBBERY INCIDENT,STREET,0,0,19,28,26,08A,2022,8,Tuesday,13,2022-08
JB000030,2022-09-17 04:23:00,THEFT,Property,REPORTED THEFT INCIDENT,SMALL RETAIL STORE,0,0,5,31,64,11,2022,9,Saturday,4,2022-09
JB000031,2022-01-25 06:51:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,APARTMENT,0,0,14,38,13,03,2022,1,Tuesday,6,2022-01
JB000032,2023-09-17 02:58:00,THEFT,Property,REPORTED THEFT INCIDENT,RESTAURANT,0,0,22,25,21,18,2023,9,Sunday,2,2023-09
JB000033,2023-01-20 10:13:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,RESIDENCE,0,0,3,43,13,07,2023,1,Friday,10,2023-01
JB000034,2022-05-31 21:15:00,THEFT,Property,REPORTED THEFT INCIDENT,STREET,0,0,11,11,63,05,2022,5,Tuesday,21,2022-05
JB000035,2022-12-02 11:42:00,CRIMINAL TRESPASS,Property,REPORTED CRIMINAL TRESPASS INCIDENT,SIDEWALK,1,0,14,23,36,14,2022,12,Friday,11,2022-12
JB000036,2023-10-15 08:05:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,SIDEWALK,0,1,19,9,67,18,2023,10,Sunday,8,2023-10
JB000037,2022-02-11 22:57:00,MOTOR VEHICLE THEFT,Property,REPORTED MOTOR VEHICLE THEFT INCIDENT,STREET,1,0,6,8,63,06,2022,2,Friday,22,2022-02
JB000038,2022-11-16 23:55:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,0,0,12,6,37,11,2022,11,Wednesday,23,2022-11
JB000039,2022-11-08 21:30:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,RESTAURANT,0,1,19,37,13,14,2022,11,Tuesday,21,2022-11
JB000040,2022-06-28 06:10:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,0,0,20,24,73,26,2022,6,Tuesday,6,2022-06
JB000041,2023-09-01 12:47:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,SIDEWALK,1,0,3,30,3,08B,2023,9,Friday,12,2023-09
JB000042,2022-11-23 20:03:00,CRIMINAL TRESPASS,Property,REPORTED CRIMINAL TRESPASS INCIDENT,RESIDENCE,1,0,11,31,76,08B,2022,11,Wednesday,20,2022-11
JB000043,2023-10-17 08:58:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,0,0,7,30,11,06,2023,10,Tuesday,8,2023-10
JB000044,2023-08-01 13:52:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,GROCERY FOOD STORE,1,0,8,36,62,03,2023,8,Tuesday,13,2023-08
JB000045,2023-10-03 13:21:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,PARKING LOT / GARAGE,0,1,20,8,49,11,2023,10,Tuesday,13,2023-10
JB000046,2023-02-17 07:43:00,NARCOTICS,Public Order,REPORTED NARCOTICS INCIDENT,STREET,1,0,3,9,33,14,2023,2,Friday,7,2023-02
JB000047,2022-01-22 08:17:00,WEAPONS VIOLATION,Public Safety,REPORTED WEAPONS VIOLATION INCIDENT,APARTMENT,1,0,17,8,10,14,2022,1,Saturday,8,2022-01
JB000048,2022-09-27 16:58:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,SIDEWALK,0,0,24,41,35,08B,2022,9,Tuesday,16,2022-09
JB000049,2022-05-10 13:57:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,STREET,0,0,2,47,14,14,2022,5,Tuesday,13,2022-05
JB000050,2023-05-19 15:08:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,STREET,0,0,20,18,72,18,2023,5,Friday,15,2023-05
JB000051,2023-09-30 12:45:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,STREET,1,0,5,41,2,26,2023,9,Saturday,12,2023-09
JB000052,2023-09-05 01:12:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,CTA TRAIN / STATION,0,0,6,10,45,08A,2023,9,Tuesday,1,2023-09
JB000053,2023-07-18 10:04:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,SMALL RETAIL STORE,1,1,2,48,3,03,2023,7,Tuesday,10,2023-07
JB000054,2022-02-23 03:29:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,0,0,2,32,27,08A,2022,2,Wednesday,3,2022-02
JB000055,2023-07-08 09:20:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,PARKING LOT / GARAGE,0,0,4,38,52,08A,2023,7,Saturday,9,2023-07
JB000056,2023-06-27 18:01:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,STREET,0,0,8,28,12,26,2023,6,Tuesday,18,2023-06
JB000057,2022-11-11 09:50:00,CRIMINAL TRESPASS,Property,REPORTED CRIMINAL TRESPASS INCIDENT,STREET,1,0,4,9,53,08B,2022,11,Friday,9,2022-11
JB000058,2022-08-18 14:55:00,THEFT,Property,REPORTED THEFT INCIDENT,SMALL RETAIL STORE,0,0,16,37,58,11,2022,8,Thursday,14,2022-08
JB000059,2022-03-31 03:02:00,ROBBERY,Violent,REPORTED ROBBERY INCIDENT,STREET,0,0,11,29,4,03,2022,3,Thursday,3,2022-03
JB000060,2022-12-15 06:55:00,THEFT,Property,REPORTED THEFT INCIDENT,COMMERCIAL / BUSINESS OFFICE,0,0,19,16,73,08B,2022,12,Thursday,6,2022-12
JB000061,2022-12-18 01:07:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,RESTAURANT,0,0,17,46,34,08B,2022,12,Sunday,1,2022-12
JB000062,2022-12-30 12:38:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,STREET,0,0,7,35,43,07,2022,12,Friday,12,2022-12
JB000063,2023-06-17 04:23:00,THEFT,Property,REPORTED THEFT INCIDENT,APARTMENT,0,0,2,23,5,18,2023,6,Saturday,4,2023-06
JB000064,2022-05-28 02:03:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,0,5,15,34,05,2022,5,Saturday,2,2022-05
JB000065,2023-09-27 09:19:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,SIDEWALK,0,0,25,21,47,18,2023,9,Wednesday,9,2023-09
JB000066,2022-03-16 11:08:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,STREET,0,0,18,33,59,08B,2022,3,Wednesday,11,2022-03
JB000067,2023-04-02 10:40:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,APARTMENT,0,0,14,28,4,06,2023,4,Sunday,10,2023-04
JB000068,2023-01-25 22:58:00,THEFT,Property,REPORTED THEFT INCIDENT,STREET,0,0,1,25,17,06,2023,1,Wednesday,22,2023-01
JB000069,2023-01-20 01:57:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,0,0,24,14,45,14,2023,1,Friday,1,2023-01
JB000070,2022-02-25 08:19:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,APARTMENT,0,0,16,42,45,07,2022,2,Friday,8,2022-02
JB000071,2023-09-27 15:43:00,THEFT,Property,REPORTED THEFT INCIDENT,STREET,1,0,3,33,27,08B,2023,9,Wednesday,15,2023-09
JB000072,2023-06-26 06:57:00,ROBBERY,Violent,REPORTED ROBBERY INCIDENT,COMMERCIAL / BUSINESS OFFICE,0,0,8,2,56,11,2023,6,Monday,6,2023-06
JB000073,2023-03-01 03:48:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,SIDEWALK,0,0,25,45,40,06,2023,3,Wednesday,3,2023-03
JB000074,2022-10-29 15:14:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,APARTMENT,0,0,25,15,20,08A,2022,10,Saturday,15,2022-10
JB000075,2022-05-15 23:22:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,PARKING LOT / GARAGE,0,1,5,9,47,26,2022,5,Sunday,23,2022-05
JB000076,2022-02-16 13:22:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,APARTMENT,0,0,17,29,48,14,2022,2,Wednesday,13,2022-02
JB000077,2023-04-05 08:15:00,MOTOR VEHICLE THEFT,Property,REPORTED MOTOR VEHICLE THEFT INCIDENT,RESIDENCE,0,0,1,15,69,06,2023,4,Wednesday,8,2023-04
JB000078,2023-05-20 03:57:00,THEFT,Property,REPORTED THEFT INCIDENT,PARKING LOT / GARAGE,0,0,12,17,72,03,2023,5,Saturday,3,2023-05
JB000079,2022-01-02 12:13:00,WEAPONS VIOLATION,Public Safety,REPORTED WEAPONS VIOLATION INCIDENT,RESTAURANT,1,0,1,8,49,03,2022,1,Sunday,12,2022-01
JB000080,2022-10-22 01:22:00,ROBBERY,Violent,REPORTED ROBBERY INCIDENT,SMALL RETAIL STORE,0,0,25,33,62,08B,2022,10,Saturday,1,2022-10
JB000081,2022-10-09 01:26:00,CRIMINAL TRESPASS,Property,REPORTED CRIMINAL TRESPASS INCIDENT,STREET,0,0,2,27,54,26,2022,10,Sunday,1,2022-10
JB000082,2023-09-25 15:42:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,0,3,1,6,14,2023,9,Monday,15,2023-09
JB000083,2022-01-23 12:09:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,0,0,15,43,52,14,2022,1,Sunday,12,2022-01
JB000084,2022-10-05 08:32:00,NARCOTICS,Public Order,REPORTED NARCOTICS INCIDENT,SIDEWALK,1,0,19,13,3,08A,2022,10,Wednesday,8,2022-10
JB000085,2022-02-16 07:01:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,STREET,0,0,8,36,62,05,2022,2,Wednesday,7,2022-02
JB000086,2022-12-24 19:53:00,THEFT,Property,REPORTED THEFT INCIDENT,RESTAURANT,0,0,25,27,30,07,2022,12,Saturday,19,2022-12
JB000087,2022-07-05 16:23:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,APARTMENT,0,0,6,44,70,18,2022,7,Tuesday,16,2022-07
JB000088,2022-04-25 06:50:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,APARTMENT,1,1,1,17,26,03,2022,4,Monday,6,2022-04
JB000089,2022-12-03 03:40:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,SIDEWALK,0,0,15,32,33,26,2022,12,Saturday,3,2022-12
JB000090,2023-08-18 16:33:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,STREET,0,0,6,3,18,07,2023,8,Friday,16,2023-08
JB000091,2022-03-10 11:03:00,THEFT,Property,REPORTED THEFT INCIDENT,SIDEWALK,0,0,1,37,24,07,2022,3,Thursday,11,2022-03
JB000092,2023-05-01 10:29:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,APARTMENT,0,1,20,17,20,11,2023,5,Monday,10,2023-05
JB000093,2023-07-14 15:41:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,RESIDENCE,0,0,9,42,17,26,2023,7,Friday,15,2023-07
JB000094,2022-05-17 01:19:00,THEFT,Property,REPORTED THEFT INCIDENT,STREET,0,0,3,38,42,08A,2022,5,Tuesday,1,2022-05
JB000095,2022-02-11 14:55:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,SMALL RETAIL STORE,0,0,6,28,66,07,2022,2,Friday,14,2022-02
JB000096,2023-01-20 07:15:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,0,0,18,39,6,03,2023,1,Friday,7,2023-01
JB000097,2023-10-03 22:34:00,THEFT,Property,REPORTED THEFT INCIDENT,APARTMENT,0,0,22,5,56,03,2023,10,Tuesday,22,2023-10
JB000098,2023-03-22 23:16:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,0,25,24,43,14,2023,3,Wednesday,23,2023-03
JB000099,2023-03-02 09:17:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,RESTAURANT,0,0,15,11,3,05,2023,3,Thursday,9,2023-03
JB000100,2022-01-11 17:55:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,RESIDENCE,0,0,4,20,11,18,2022,1,Tuesday,17,2022-01
JB000101,2023-08-17 16:10:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,0,1,3,40,07,2023,8,Thursday,16,2023-08
JB000102,2023-04-20 10:09:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,APARTMENT,0,0,10,3,44,05,2023,4,Thursday,10,2023-04
JB000103,2022-11-11 08:02:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,GROCERY FOOD STORE,0,0,12,18,71,08B,2022,11,Friday,8,2022-11
JB000104,2022-09-19 22:09:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,RESIDENCE,0,0,17,12,38,26,2022,9,Monday,22,2022-09
JB000105,2022-01-01 15:29:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,0,0,19,5,72,07,2022,1,Saturday,15,2022-01
JB000106,2022-12-06 04:43:00,BURGLARY,Property,REPORTED BURGLARY INCIDENT,GROCERY FOOD STORE,0,0,12,7,63,18,2022,12,Tuesday,4,2022-12
JB000107,2023-04-06 23:38:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,APARTMENT,1,0,12,2,41,05,2023,4,Thursday,23,2023-04
JB000108,2023-12-20 03:45:00,ROBBERY,Violent,REPORTED ROBBERY INCIDENT,RESIDENCE,1,0,3,18,11,08B,2023,12,Wednesday,3,2023-12
JB000109,2023-09-20 22:58:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,RESIDENCE,0,0,16,29,77,05,2023,9,Wednesday,22,2023-09
JB000110,2022-08-10 06:03:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,STREET,0,0,15,29,31,08B,2022,8,Wednesday,6,2022-08
JB000111,2022-02-08 07:53:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,RESIDENCE,0,0,7,17,38,26,2022,2,Tuesday,7,2022-02
JB000112,2023-06-10 11:26:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,CTA TRAIN / STATION,0,0,3,23,69,08A,2023,6,Saturday,11,2023-06
JB000113,2022-06-09 05:41:00,THEFT,Property,REPORTED THEFT INCIDENT,GROCERY FOOD STORE,0,0,14,30,7,11,2022,6,Thursday,5,2022-06
JB000114,2023-12-05 10:40:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,SIDEWALK,1,1,17,23,2,26,2023,12,Tuesday,10,2023-12
JB000115,2022-03-24 18:21:00,ROBBERY,Violent,REPORTED ROBBERY INCIDENT,RESIDENCE,1,0,7,8,1,08A,2022,3,Thursday,18,2022-03
JB000116,2022-12-27 20:06:00,ROBBERY,Violent,REPORTED ROBBERY INCIDENT,STREET,0,0,8,10,57,08A,2022,12,Tuesday,20,2022-12
JB000117,2023-10-05 19:23:00,ROBBERY,Violent,REPORTED ROBBERY INCIDENT,RESIDENCE,0,0,16,38,75,11,2023,10,Thursday,19,2023-10
JB000118,2022-01-16 00:37:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,1,0,17,41,52,18,2022,1,Sunday,0,2022-01
JB000119,2023-07-05 21:00:00,MOTOR VEHICLE THEFT,Property,REPORTED MOTOR VEHICLE THEFT INCIDENT,STREET,0,0,5,5,50,08B,2023,7,Wednesday,21,2023-07
JB000120,2022-12-18 13:25:00,NARCOTICS,Public Order,REPORTED NARCOTICS INCIDENT,STREET,1,0,9,25,61,03,2022,12,Sunday,13,2022-12
JB000121,2022-08-30 23:13:00,THEFT,Property,REPORTED THEFT INCIDENT,SIDEWALK,0,0,24,18,23,14,2022,8,Tuesday,23,2022-08
JB000122,2022-07-08 17:19:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,STREET,0,0,25,16,45,06,2022,7,Friday,17,2022-07
JB000123,2023-12-26 06:22:00,THEFT,Property,REPORTED THEFT INCIDENT,CTA TRAIN / STATION,0,0,3,19,56,11,2023,12,Tuesday,6,2023-12
JB000124,2023-03-09 22:35:00,THEFT,Property,REPORTED THEFT INCIDENT,SIDEWALK,0,0,25,2,4,18,2023,3,Thursday,22,2023-03
JB000125,2023-09-12 20:13:00,THEFT,Property,REPORTED THEFT INCIDENT,APARTMENT,0,0,8,19,76,08B,2023,9,Tuesday,20,2023-09
JB000126,2022-12-30 09:46:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,STREET,0,0,6,7,65,11,2022,12,Friday,9,2022-12
JB000127,2022-03-21 14:27:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,SIDEWALK,0,0,10,15,33,06,2022,3,Monday,14,2022-03
JB000128,2023-01-22 11:07:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,0,25,38,30,11,2023,1,Sunday,11,2023-01
JB000129,2023-06-22 01:47:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,APARTMENT,0,0,3,27,35,06,2023,6,Thursday,1,2023-06
JB000130,2022-10-26 23:14:00,THEFT,Property,REPORTED THEFT INCIDENT,APARTMENT,0,0,18,46,1,18,2022,10,Wednesday,23,2022-10
JB000131,2023-12-15 06:36:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,0,0,8,21,21,07,2023,12,Friday,6,2023-12
JB000132,2022-08-24 00:53:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,APARTMENT,0,0,8,10,26,26,2022,8,Wednesday,0,2022-08
JB000133,2023-03-07 15:16:00,CRIMINAL TRESPASS,Property,REPORTED CRIMINAL TRESPASS INCIDENT,GROCERY FOOD STORE,1,0,6,32,16,11,2023,3,Tuesday,15,2023-03
JB000134,2022-06-04 15:01:00,THEFT,Property,REPORTED THEFT INCIDENT,CTA TRAIN / STATION,0,0,16,46,7,18,2022,6,Saturday,15,2022-06
JB000135,2023-08-02 18:59:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,SMALL RETAIL STORE,0,0,18,3,25,08A,2023,8,Wednesday,18,2023-08
JB000136,2023-07-02 00:51:00,MOTOR VEHICLE THEFT,Property,REPORTED MOTOR VEHICLE THEFT INCIDENT,RESIDENCE,0,0,22,32,38,05,2023,7,Sunday,0,2023-07
JB000137,2023-07-24 21:01:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,CTA TRAIN / STATION,0,0,9,32,36,14,2023,7,Monday,21,2023-07
JB000138,2022-01-30 17:06:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,1,0,12,15,59,18,2022,1,Sunday,17,2022-01
JB000139,2023-05-06 04:39:00,THEFT,Property,REPORTED THEFT INCIDENT,APARTMENT,0,0,14,12,60,07,2023,5,Saturday,4,2023-05
JB000140,2022-06-11 03:29:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,APARTMENT,0,0,14,49,57,03,2022,6,Saturday,3,2022-06
JB000141,2023-10-12 08:30:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,SMALL RETAIL STORE,0,1,11,7,39,05,2023,10,Thursday,8,2023-10
JB000142,2023-09-28 22:44:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,0,8,7,29,06,2023,9,Thursday,22,2023-09
JB000143,2023-07-04 13:48:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,STREET,0,0,17,38,58,18,2023,7,Tuesday,13,2023-07
JB000144,2022-03-03 21:48:00,CRIMINAL TRESPASS,Property,REPORTED CRIMINAL TRESPASS INCIDENT,RESTAURANT,0,0,24,14,12,26,2022,3,Thursday,21,2022-03
JB000145,2022-03-02 23:55:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,SIDEWALK,0,0,16,15,53,14,2022,3,Wednesday,23,2022-03
JB000146,2023-11-27 19:29:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,GROCERY FOOD STORE,0,0,8,49,31,08A,2023,11,Monday,19,2023-11
JB000147,2022-08-25 00:30:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,STREET,0,1,17,20,22,03,2022,8,Thursday,0,2022-08
JB000148,2022-10-13 07:32:00,CRIMINAL TRESPASS,Property,REPORTED CRIMINAL TRESPASS INCIDENT,CTA TRAIN / STATION,1,0,9,29,63,03,2022,10,Thursday,7,2022-10
JB000149,2023-06-02 20:16:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,APARTMENT,1,0,5,10,60,07,2023,6,Friday,20,2023-06
JB000150,2023-11-05 19:54:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,0,14,13,19,06,2023,11,Sunday,19,2023-11
JB000151,2022-12-21 23:05:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,APARTMENT,1,0,24,37,39,05,2022,12,Wednesday,23,2022-12
JB000152,2022-04-29 15:57:00,CRIMINAL TRESPASS,Property,REPORTED CRIMINAL TRESPASS INCIDENT,STREET,1,0,9,48,37,08A,2022,4,Friday,15,2022-04
JB000153,2023-12-24 03:54:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,0,0,11,47,55,08B,2023,12,Sunday,3,2023-12
JB000154,2022-11-07 23:47:00,BURGLARY,Property,REPORTED BURGLARY INCIDENT,RESIDENCE,0,0,22,1,9,18,2022,11,Monday,23,2022-11
JB000155,2022-05-30 22:11:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,RESIDENCE,0,0,17,41,18,06,2022,5,Monday,22,2022-05
JB000156,2023-03-13 01:10:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,APARTMENT,0,1,8,6,59,26,2023,3,Monday,1,2023-03
JB000157,2023-11-29 02:50:00,THEFT,Property,REPORTED THEFT INCIDENT,STREET,0,0,9,42,2,06,2023,11,Wednesday,2,2023-11
