ticker,trading_date,open_price,high_price,low_price,close_price,adj_close_price,volume,daily_return_pct,trading_value_usd,year_month,ma_50,volatility_30d
AAPL,2023-01-26,182.18,183.27,181.56,181.95,181.95,18022103,-2.4,3279121640.85,2023-01,180.67,1.69
AAPL,2023-01-27,174.64,176.08,172.67,175.36,175.36,27263800,-3.62,4780979968.0,2023-01,180.39,1.86
AAPL,2023-01-30,173.99,175.23,172.61,173.19,173.19,7903379,-1.24,1368786209.01,2023-01,180.03,1.83
AAPL,2023-01-31,179.49,181.02,177.71,179.05,179.05,36025072,3.38,6450289141.6,2023-01,180.3,1.98
AAPL,2023-02-01,178.77,179.94,175.76,178.11,178.11,17116594,-0.52,3048636557.34,2023-02,180.56,1.98
AAPL,2023-02-02,179.17,179.89,176.42,178.31,178.31,11571402,0.11,2063296690.62,2023-02,180.77,1.98
AAPL,2023-02-03,182.41,183.37,179.37,181.85,181.85,5957847,1.99,1083434476.95,2023-02,181.26,1.99
AAPL,2023-02-06,182.32,183.48,181.25,181.65,181.65,37839274,-0.11,6873504122.1,2023-02,181.71,2.0
AAPL,2023-02-07,177.13,179.74,174.26,176.81,176.81,45585760,-2.66,8060018225.6,2023-02,181.68,2.01
AAPL,2023-02-08,177.37,179.55,174.98,177.1,177.1,28199281,0.16,4994092665.1,2023-02,181.57,2.0
AAPL,2023-02-09,176.55,176.89,175.72,176.03,176.03,13275637,-0.6,2336910381.11,2023-02,181.1,1.82
AAPL,2023-02-10,176.5,176.89,174.58,175.85,175.85,35588114,-0.1,6258169846.9,2023-02,180.79,1.78
AAPL,2023-02-13,175.68,176.6,172.65,175.11,175.11,7199271,-0.42,1260664344.81,2023-02,180.42,1.78
AAPL,2023-02-14,172.19,172.43,170.4,171.93,171.93,12562999,-1.82,2159956418.07,2023-02,179.79,1.79
AAPL,2023-02-15,167.76,168.85,166.48,168.11,168.11,25141673,-2.22,4226566648.03,2023-02,179.09,1.82
AAPL,2023-02-16,176.53,178.29,174.66,176.14,176.14,15450844,4.78,2721511662.16,2023-02,178.56,2.06
AAPL,2023-02-17,177.58,179.06,174.71,177.11,177.11,12051811,0.55,2134496246.21,2023-02,178.12,2.06
AAPL,2023-02-20,176.87,179.05,174.47,177.6,177.6,18662359,0.28,3314434958.4,2023-02,177.79,2.06
AAPL,2023-02-21,181.54,183.61,179.92,181.55,181.55,12639313,2.22,2294667275.15,2023-02,177.46,2.06
AAPL,2023-02-22,182.76,183.86,181.82,183.35,183.35,12720494,0.99,2332302574.9,2023-02,177.31,2.07
AAPL,2023-02-23,186.42,188.26,183.44,185.8,185.8,29679231,1.33,5514401119.8,2023-02,177.5,2.01
AAPL,2023-02-24,181.94,182.8,181.59,181.84,181.84,19270250,-2.13,3504102260.0,2023-02,177.82,1.89
AAPL,2023-02-27,181.62,183.97,180.02,180.87,180.87,22499251,-0.54,4069439528.37,2023-02,178.21,1.87
AAPL,2023-02-28,176.41,179.07,175.21,176.49,176.49,16822046,-2.42,2968922898.54,2023-02,178.08,1.8
AAPL,2023-03-01,177.02,178.2,174.17,176.54,176.54,16936796,0.03,2990021965.84,2023-03,178.0,1.8
AAPL,2023-03-02,178.41,180.91,176.44,178.82,178.82,31429629,1.29,5620246257.78,2023-03,178.03,1.82
AAPL,2023-03-03,175.77,177.31,175.0,176.54,176.54,12154604,-1.28,2145773790.16,2023-03,177.76,1.78
AAPL,2023-03-06,176.77,178.78,174.73,176.57,176.57,20123002,0.02,3553118463.14,2023-03,177.51,1.78
AAPL,2023-03-07,176.39,177.88,173.2,175.65,175.65,17772068,-0.52,3121663744.2,2023-03,177.45,1.69
AAPL,2023-03-08,171.57,174.05,169.21,171.88,171.88,3445769,-2.15,592258775.72,2023-03,177.19,1.75
AAPL,2023-03-09,172.02,173.47,170.05,171.81,171.81,8412870,-0.04,1445415194.7,2023-03,176.98,1.75
AAPL,2023-03-10,172.59,174.14,170.83,172.42,172.42,8506016,0.35,1466607278.72,2023-03,176.81,1.75
AAPL,2023-03-13,167.46,170.21,167.28,167.8,167.8,14192342,-2.68,2381474987.6,2023-03,176.44,1.84
AAPL,2023-03-14,168.11,170.41,167.02,167.64,167.64,11235460,-0.09,1883512514.4,2023-03,176.23,1.8
AAPL,2023-03-15,168.26,170.14,166.7,168.31,168.31,20676139,0.4,3480000955.09,2023-03,176.24,1.74
AAPL,2023-03-16,169.99,171.33,168.69,169.4,169.4,29354857,0.65,4972712775.8,2023-03,175.9,1.34
AAPL,2023-03-17,172.42,174.93,170.56,172.28,172.28,6334018,1.7,1091224621.04,2023-03,175.66,1.4
AAPL,2023-03-20,173.79,175.98,171.79,174.14,174.14,8399863,1.08,1462752142.82,2023-03,175.48,1.42
AAPL,2023-03-21,172.95,175.51,171.83,173.52,173.52,19079815,-0.36,3310729498.8,2023-03,175.08,1.31
AAPL,2023-03-22,174.83,175.68,171.53,174.02,174.02,18359211,0.29,3194869898.22,2023-03,174.62,1.29
AAPL,2023-03-23,179.77,181.76,178.2,179.44,179.44,31901304,3.11,5724369989.76,2023-03,174.3,1.45
AAPL,2023-03-24,175.12,178.17,173.41,175.54,175.54,30958997,-2.17,5434542333.38,2023-03,173.98,1.46
AAPL,2023-03-27,176.15,178.23,174.26,176.84,176.84,11732528,0.74,2074780251.52,2023-03,173.78,1.47
AAPL,2023-03-28,170.61,173.9,169.38,171.42,171.42,12613190,-3.07,2162153029.8,2023-03,173.53,1.53
AAPL,2023-03-29,170.07,172.24,168.06,170.08,170.08,37256346,-0.78,6336559327.68,2023-03,173.21,1.53
AAPL,2023-03-30,168.69,171.18,167.51,168.31,168.31,15417423,-1.04,2594906465.13,2023-03,172.68,1.51
AAPL,2023-03-31,168.74,170.23,167.84,168.25,168.25,10112256,-0.04,1701387072.0,2023-03,172.27,1.49
AAPL,2023-04-03,163.74,165.67,162.77,163.07,163.07,10345656,-3.08,1687066123.92,2023-04,171.59,1.62
AAPL,2023-04-04,160.68,162.93,158.79,160.57,160.57,9744897,-1.53,1564738111.29,2023-04,170.84,1.64
AAPL,2023-04-05,158.97,160.58,157.17,158.48,158.48,10452577,-1.3,1656524402.96,2023-04,170.17,1.6
AAPL,2023-04-06,155.66,158.05,153.82,156.21,156.21,19297659,-1.43,3014487312.39,2023-04,169.39,1.61
AAPL,2023-04-07,153.26,155.24,152.67,153.43,153.43,9358942,-1.78,1435942471.06,2023-04,168.44,1.63
AAPL,2023-04-10,155.38,156.33,153.71,154.68,154.68,11559603,0.82,1788039392.04,2023-04,167.78,1.58
AAPL,2023-04-11,154.45,156.69,154.29,154.5,154.5,27317876,-0.11,4220611842.0,2023-04,167.12,1.58
AAPL,2023-04-12,151.25,152.29,149.81,151.02,151.02,22788668,-2.25,3441544641.36,2023-04,166.26,1.62
AAPL,2023-04-13,152.28,154.99,151.44,152.71,152.71,14483447,1.12,2211767191.37,2023-04,165.43,1.64
AAPL,2023-04-14,152.59,153.81,150.55,152.36,152.36,53120047,-0.23,8093370360.92,2023-04,164.43,1.56
AAPL,2023-04-17,149.41,151.65,147.51,149.65,149.65,30049901,-1.78,4496967684.65,2023-04,163.2,1.52
AAPL,2023-04-18,153.28,155.39,152.46,153.01,153.01,11617665,2.25,1777618921.65,2023-04,162.18,1.66
AAPL,2023-04-19,149.08,149.99,148.06,148.83,148.83,13350063,-2.73,1986889876.29,2023-04,160.92,1.71
AAPL,2023-04-20,149.68,150.89,148.93,149.97,149.97,7749960,0.76,1162261501.2,2023-04,159.45,1.5
AAPL,2023-04-21,154.66,156.21,153.47,154.9,154.9,13133249,3.29,2034340270.1,2023-04,158.41,1.73
AAPL,2023-04-24,158.72,160.78,156.6,158.54,158.54,12034025,2.35,1907874323.5,2023-04,157.5,1.83
AAPL,2023-04-25,165.93,167.14,165.51,166.58,166.58,4398917,5.07,732771593.86,2023-04,157.26,2.12
AAPL,2023-04-26,167.82,169.81,165.67,167.39,167.39,14239234,0.49,2383505379.26,2023-04,157.12,2.12
AAPL,2023-04-27,165.3,165.51,163.18,164.78,164.78,10485193,-1.56,1727750102.54,2023-04,156.95,2.14
AAPL,2023-04-28,161.65,164.18,161.31,162.35,162.35,11796356,-1.47,1915138396.6,2023-04,156.65,2.16
AAPL,2023-05-01,161.22,163.33,161.02,161.49,161.49,9613201,-0.53,1552435829.49,2023-05,156.57,2.05
AAPL,2023-05-02,163.25,164.3,161.72,162.66,162.66,17416503,0.73,2832968377.98,2023-05,156.68,2.02
AAPL,2023-05-03,166.87,169.35,164.03,166.31,166.31,20775920,2.24,3455243255.2,2023-05,157.07,2.05
AAPL,2023-05-04,166.32,168.74,165.06,166.73,166.73,33619177,0.25,5605325381.21,2023-05,157.59,2.01
AAPL,2023-05-05,164.57,165.3,162.48,164.54,164.54,13601172,-1.31,2237936840.88,2023-05,158.15,1.99
AAPL,2023-05-08,169.34,169.87,167.8,168.86,168.86,9055658,2.62,1529138409.88,2023-05,158.86,2.05
AAPL,2023-05-09,168.62,169.94,165.73,167.82,167.82,17376218,-0.62,2916076904.76,2023-05,159.52,2.06
AAPL,2023-05-10,172.92,173.86,171.67,172.31,172.31,11476768,2.67,1977561894.08,2023-05,160.59,2.02
AAPL,2023-05-11,172.32,174.09,169.58,171.84,171.84,12968369,-0.27,2228484528.96,2023-05,161.55,2.02
AAPL,2023-05-12,177.54,180.43,175.22,177.77,177.77,24207103,3.45,4303296700.31,2023-05,162.82,2.11
AAPL,2023-05-15,174.69,176.65,172.16,174.78,174.78,11161227,-1.68,1950759255.06,2023-05,164.07,2.1
AAPL,2023-05-16,178.31,180.91,178.1,179.17,179.17,29825999,2.51,5343924240.83,2023-05,165.38,2.11
AAPL,2023-05-17,176.93,179.46,175.76,176.26,176.26,9514421,-1.62,1677011845.46,2023-05,166.75,2.03
AAPL,2023-05-18,172.18,173.96,170.53,172.53,172.53,5302630,-2.11,914862753.9,2023-05,167.88,2.13
AAPL,2023-05-19,169.6,172.68,169.27,170.44,170.44,9504150,-1.21,1619887326.0,2023-05,168.66,2.09
AAPL,2023-05-22,173.26,175.05,172.03,173.28,173.28,14387240,1.67,2493020947.2,2023-05,169.39,2.06
AAPL,2023-05-23,171.83,173.67,169.04,171.23,171.23,21598810,-1.18,3698364236.3,2023-05,169.63,1.78
AAPL,2023-05-24,171.87,172.59,169.5,171.82,171.82,11972464,0.34,2057108764.48,2023-05,169.85,1.78
AAPL,2023-05-25,166.68,167.75,164.99,167.36,167.36,13664382,-2.59,2286870971.52,2023-05,169.98,1.84
AAPL,2023-05-26,165.92,167.12,163.87,165.51,165.51,14182138,-1.11,2347285660.38,2023-05,170.14,1.83
AAPL,2023-05-29,163.11,164.84,161.16,163.79,163.79,22073002,-1.04,3615336997.58,2023-05,170.25,1.84
AAPL,2023-05-30,163.08,164.18,162.08,162.91,162.91,11062847,-0.54,1802248404.77,2023-05,170.26,1.84
AAPL,2023-05-31,164.95,165.52,162.75,164.14,164.14,20049601,0.75,3290941508.14,2023-05,170.15,1.78
AAPL,2023-06-01,165.75,167.44,164.33,165.41,165.41,12231929,0.78,2023283375.89,2023-06,170.09,1.78
AAPL,2023-06-02,164.79,165.98,162.14,164.01,164.01,27091468,-0.84,4443271666.68,2023-06,170.06,1.77
AAPL,2023-06-05,163.62,164.29,161.56,163.4,163.4,16673196,-0.37,2724400226.4,2023-06,169.79,1.66
AAPL,2023-06-06,164.35,166.76,162.42,163.83,163.83,13990231,0.27,2292019544.73,2023-06,169.59,1.66
AAPL,2023-06-07,169.06,170.6,167.38,169.8,169.8,5875946,3.65,997735630.8,2023-06,169.46,1.76
AAPL,2023-06-08,165.98,166.41,165.02,165.83,165.83,10009203,-2.34,1659826133.49,2023-06,169.16,1.83
AAPL,2023-06-09,167.54,170.14,165.06,167.93,167.93,29234711,1.27,4909385018.23,2023-06,168.67,1.66
AAPL,2023-06-12,167.98,170.2,166.39,167.8,167.8,17075039,-0.08,2865191544.2,2023-06,168.32,1.63
AAPL,2023-06-13,171.85,172.94,171.57,171.95,171.95,17030569,2.48,2928406339.55,2023-06,167.96,1.62
AAPL,2023-06-14,169.94,171.37,167.4,170.1,170.1,17189900,-1.08,2924001990.0,2023-06,167.65,1.6
AAPL,2023-06-15,174.03,176.98,172.93,174.46,174.46,5966219,2.56,1040866566.74,2023-06,167.75,1.64
AAPL,2023-06-16,176.38,178.89,175.16,177.17,177.17,18348122,1.55,3250736774.74,2023-06,168.09,1.65
AAPL,2023-06-19,176.71,180.02,174.88,177.43,177.43,7025389,0.15,1246514770.27,2023-06,168.29,1.61
AAPL,2023-06-20,171.5,173.71,169.66,172.13,172.13,18926467,-2.98,3257812764.71,2023-06,168.34,1.73
AAPL,2023-06-21,173.31,175.51,172.37,174.04,174.04,11809610,1.11,2055344524.4,2023-06,168.45,1.75
AAPL,2023-06-22,172.27,174.13,169.61,171.78,171.78,12112976,-1.3,2080767017.28,2023-06,168.67,1.67
AAPL,2023-06-23,173.69,174.4,172.61,172.88,172.88,20950505,0.64,3621923304.4,2023-06,169.04,1.64
AAPL,2023-06-26,169.55,172.15,168.12,170.03,170.03,19692900,-1.65,3348383787.0,2023-06,169.35,1.67
AAPL,2023-06-27,172.16,175.39,171.39,172.94,172.94,15845364,1.71,2740297250.16,2023-06,169.85,1.7
AAPL,2023-06-28,170.22,172.36,169.32,169.55,169.55,11762787,-1.96,1994380535.85,2023-06,170.12,1.77
AAPL,2023-06-29,173.51,175.98,171.84,172.98,172.98,16347896,2.02,2827859050.08,2023-06,170.5,1.81
AAPL,2023-06-30,169.52,170.55,166.31,168.77,168.77,5558021,-2.43,938027204.17,2023-06,170.74,1.89
AAPL,2023-07-03,167.36,170.47,165.07,168.09,168.09,18907892,-0.4,3178227566.28,2023-07,170.97,1.89
AAPL,2023-07-04,170.84,171.12,168.56,170.63,170.63,24552269,1.51,4189353659.47,2023-07,171.31,1.92
AAPL,2023-07-05,174.04,176.78,173.49,174.48,174.48,15734649,2.26,2745381557.52,2023-07,171.55,1.81
AAPL,2023-07-06,172.62,174.39,170.31,172.09,172.09,6028779,-1.37,1037492578.11,2023-07,171.86,1.75
AAPL,2023-07-07,175.16,175.47,171.98,174.59,174.59,9581204,1.45,1672782406.36,2023-07,172.19,1.76
AAPL,2023-07-10,172.45,174.97,170.37,172.79,172.79,20078413,-1.03,3469348982.27,2023-07,172.44,1.78
AAPL,2023-07-11,174.04,175.88,171.6,174.85,174.85,32070572,1.19,5607539514.2,2023-07,172.59,1.71
AAPL,2023-07-12,179.89,180.93,177.36,179.27,179.27,8081009,2.53,1448682483.43,2023-07,173.05,1.77
AAPL,2023-07-13,179.61,181.91,177.5,178.95,178.95,10075176,-0.18,1802952745.2,2023-07,173.27,1.69
AAPL,2023-07-14,177.04,178.79,175.0,176.69,176.69,14733289,-1.26,2603224833.41,2023-07,173.25,1.68
AAPL,2023-07-17,174.53,174.96,173.52,173.73,173.73,12131715,-1.67,2107642846.95,2023-07,173.06,1.72
AAPL,2023-07-18,179.08,179.33,176.51,178.65,178.65,12056989,2.83,2153981084.85,2023-07,173.39,1.7
AAPL,2023-07-19,178.26,180.36,175.88,178.57,178.57,53014713,-0.04,9466837300.41,2023-07,173.62,1.69
AAPL,2023-07-20,176.74,177.1,175.1,176.83,176.83,19551549,-0.98,3457300409.67,2023-07,173.87,1.67
AAPL,2023-07-21,178.19,179.11,176.78,177.48,177.48,26061522,0.37,4625398924.56,2023-07,174.1,1.67
AAPL,2023-07-24,182.8,184.77,182.23,182.95,182.95,32559604,3.08,5956779551.8,2023-07,174.74,1.74
AAPL,2023-07-25,185.32,187.01,184.65,185.68,185.68,21733142,1.49,4035409806.56,2023-07,175.38,1.73
AAPL,2023-07-26,183.78,186.47,182.78,184.48,184.48,8144439,-0.65,1502486106.72,2023-07,176.13,1.66
AAPL,2023-07-27,188.64,190.39,186.07,188.45,188.45,32215080,2.15,6070931826.0,2023-07,176.9,1.66
AAPL,2023-07-28,189.41,191.85,186.6,189.42,189.42,27235243,0.51,5158899729.06,2023-07,177.93,1.52
AAPL,2023-07-31,190.03,190.49,189.29,190.23,190.23,13324234,0.43,2534669033.82,2023-07,179.04,1.5
AAPL,2023-08-01,192.26,194.36,190.49,191.84,191.84,7391247,0.85,1417936824.48,2023-08,180.1,1.49
AAPL,2023-08-02,189.39,190.04,187.33,188.45,188.45,9491704,-1.77,1788711618.8,2023-08,180.8,1.53
AAPL,2023-08-03,187.38,188.73,186.61,188.11,188.11,12634866,-0.18,2376744643.26,2023-08,181.6,1.48
AAPL,2023-08-04,189.27,191.49,188.33,189.96,189.96,10416059,0.98,1978634567.64,2023-08,182.37,1.46
AAPL,2023-08-07,193.8,197.02,193.21,194.53,194.53,9281105,2.4,1805453355.65,2023-08,183.46,1.48
AAPL,2023-08-08,195.82,197.7,193.4,195.81,195.81,20452885,0.66,4004879411.85,2023-08,184.5,1.48
AAPL,2023-08-09,195.56,197.72,192.06,194.9,194.9,10267718,-0.46,2001178238.2,2023-08,185.29,1.42
AAPL,2023-08-10,194.16,196.67,191.29,193.89,193.89,15192106,-0.52,2945597432.34,2023-08,186.03,1.43
AAPL,2023-08-11,189.77,191.21,188.81,189.76,189.76,12801748,-2.13,2429259700.48,2023-08,186.69,1.49
AAPL,2023-08-14,189.42,190.34,187.54,189.92,189.92,8896274,0.08,1689580358.08,2023-08,187.5,1.42
AAPL,2023-08-15,185.41,185.68,183.82,185.05,185.05,10094521,-2.57,1867991111.05,2023-08,187.82,1.46
AAPL,2023-08-16,182.05,184.33,181.36,182.84,182.84,7788581,-1.2,1424064150.04,2023-08,188.03,1.49
AAPL,2023-08-17,180.88,183.7,178.65,181.38,181.38,11833304,-0.8,2146324679.52,2023-08,188.26,1.48
AAPL,2023-08-18,177.97,179.81,176.0,178.07,178.07,11891519,-1.82,2117522788.33,2023-08,188.29,1.54
AAPL,2023-08-21,175.0,177.66,173.34,175.72,175.72,24453931,-1.32,4297044755.32,2023-08,187.92,1.39
MSFT,2023-01-03,406.78,409.08,400.95,406.06,406.06,7177472,-0.96,2914484280.32,2023-01,406.06,
MSFT,2023-01-04,398.24,402.82,396.74,398.78,398.78,51283599,-1.79,20450873609.22,2023-01,402.42,0.59
MSFT,2023-01-05,401.17,402.01,396.71,401.4,401.4,20419268,0.66,8196294175.2,2023-01,402.08,1.25
MSFT,2023-01-06,406.63,408.51,400.4,406.28,406.28,12919196,1.21,5248810950.88,2023-01,403.13,1.39
MSFT,2023-01-09,395.54,399.75,390.72,394.43,394.43,11163760,-2.92,4403321856.8,2023-01,401.39,1.71
MSFT,2023-01-10,394.92,399.14,391.31,396.28,396.28,15636720,0.47,6196519401.6,2023-01,400.54,1.61
MSFT,2023-01-11,403.17,406.62,398.56,401.69,401.69,38183077,1.36,15337760200.13,2023-01,400.7,1.64
MSFT,2023-01-12,412.92,418.73,411.81,414.17,414.17,49352431,3.11,20440296347.27,2023-01,402.39,1.93
MSFT,2023-01-13,404.82,409.92,403.68,406.45,406.45,18062551,-1.86,7341523853.95,2023-01,402.84,1.93
MSFT,2023-01-16,424.06,428.16,419.63,423.64,423.64,3678842,4.23,1558504624.88,2023-01,404.92,2.27
MSFT,2023-01-17,416.55,419.23,412.43,417.9,417.9,9679630,-1.35,4045117377.0,2023-01,406.1,2.21
MSFT,2023-01-18,419.15,420.58,415.22,418.23,418.23,15763836,0.08,6592909130.28,2023-01,407.11,2.11
MSFT,2023-01-19,429.01,431.63,420.78,426.99,426.99,13955346,2.09,5958793188.54,2023-01,408.64,2.09
MSFT,2023-01-20,429.17,435.73,426.85,429.41,429.41,7702517,0.57,3307537824.97,2023-01,410.12,2.01
MSFT,2023-01-23,425.86,428.51,425.4,427.13,427.13,7742093,-0.53,3306880183.09,2023-01,411.26,1.95
MSFT,2023-01-24,433.5,438.71,426.1,431.8,431.8,12961431,1.09,5596745905.8,2023-01,412.54,1.89
MSFT,2023-01-25,425.82,428.36,423.48,427.88,427.88,19174942,-0.91,8204574182.96,2023-01,413.44,1.86
MSFT,2023-01-26,437.62,440.53,431.67,438.25,438.25,12610332,2.42,5526477999.0,2023-01,414.82,1.87
MSFT,2023-01-27,439.63,444.3,432.61,439.09,439.09,13055378,0.19,5732485926.02,2023-01,416.1,1.82
MSFT,2023-01-30,440.36,443.02,439.36,440.28,440.28,6301363,0.27,2774364101.64,2023-01,417.31,1.77
MSFT,2023-01-31,447.69,452.82,444.93,448.19,448.19,11793496,1.8,5285726972.24,2023-01,419.41,1.77
MSFT,2023-02-01,444.28,445.94,440.07,444.63,444.63,18233524,-0.79,8107171776.12,2023-02,421.71,1.72
MSFT,2023-02-02,435.37,440.64,431.16,435.75,435.75,19895322,-2.0,8669386561.5,2023-02,423.42,1.81
MSFT,2023-02-03,439.28,442.12,438.53,440.76,440.76,22316282,1.15,9836124454.32,2023-02,425.15,1.81
MSFT,2023-02-06,452.6,455.49,448.07,450.42,450.42,9678164,2.19,4359238628.88,2023-02,427.95,1.66
MSFT,2023-02-07,452.12,456.66,447.93,451.27,451.27,28071964,0.19,12668035194.28,2023-02,430.7,1.67
MSFT,2023-02-08,454.04,460.71,448.81,455.66,455.66,10111294,0.97,4607312224.04,2023-02,433.4,1.66
MSFT,2023-02-09,452.76,457.07,445.97,452.51,452.51,8433605,-0.69,3816290598.55,2023-02,435.31,1.58
MSFT,2023-02-10,452.76,457.03,449.91,450.76,450.76,9359497,-0.39,4218886867.72,2023-02,437.53,1.5
MSFT,2023-02-13,454.21,458.26,451.86,455.79,455.79,19239701,1.12,8769263318.79,2023-02,439.13,1.23
MSFT,2023-02-14,449.55,455.54,441.78,447.38,447.38,6859080,-1.85,3068615210.4,2023-02,440.61,1.27
MSFT,2023-02-15,457.23,462.06,454.03,456.01,456.01,19365826,1.93,8831010314.26,2023-02,442.5,1.32
MSFT,2023-02-16,445.06,449.88,441.87,445.61,445.61,10195430,-2.28,4543185562.3,2023-02,443.43,1.39
MSFT,2023-02-17,457.77,458.95,453.59,456.07,456.07,19344321,2.35,8822364478.47,2023-02,444.76,1.47
MSFT,2023-02-20,447.37,451.35,444.41,446.64,446.64,13893962,-2.07,6205599187.68,2023-02,445.74,1.55
MSFT,2023-02-21,452.63,457.23,449.61,450.59,450.59,34958758,0.88,15752066767.22,2023-02,446.68,1.55
MSFT,2023-02-22,461.32,466.61,456.58,460.05,460.05,5497706,2.1,2529219645.3,2023-02,448.29,1.58
MSFT,2023-02-23,474.89,477.16,467.85,473.72,473.72,13939825,2.97,6603573899.0,2023-02,450.06,1.62
MSFT,2023-02-24,474.83,479.04,469.71,473.0,473.0,11994768,-0.15,5673525264.0,2023-02,451.75,1.62
MSFT,2023-02-27,466.25,469.21,464.39,466.36,466.36,16223544,-1.4,7566011979.84,2023-02,453.06,1.67
MSFT,2023-02-28,466.7,468.63,464.85,466.65,466.65,16965991,0.06,7917179700.15,2023-02,453.98,1.64
MSFT,2023-03-01,454.89,459.5,454.06,456.55,456.55,21464337,-2.16,9799543057.35,2023-03,454.58,1.71
MSFT,2023-03-02,453.96,458.6,452.88,454.09,454.09,9597230,-0.54,4358006170.7,2023-03,455.49,1.64
MSFT,2023-03-03,445.14,450.28,439.33,445.91,445.91,14089134,-1.8,6282485741.94,2023-03,455.75,1.68
MSFT,2023-03-06,434.96,440.02,433.59,434.58,434.58,6212169,-2.54,2699684404.02,2023-03,454.96,1.7
MSFT,2023-03-07,444.46,449.32,437.25,442.98,442.98,17325756,1.93,7674963392.88,2023-03,454.55,1.77
MSFT,2023-03-08,454.25,458.05,450.09,454.79,454.79,19266998,2.67,8762438020.42,2023-03,454.5,1.86
MSFT,2023-03-09,448.64,452.86,442.29,449.48,449.48,15350467,-1.17,6899727907.16,2023-03,454.35,1.87
MSFT,2023-03-10,454.4,458.38,451.88,453.33,453.33,12733119,0.86,5772304836.27,2023-03,454.48,1.88
MSFT,2023-03-13,457.83,461.52,454.9,456.28,456.28,13837140,0.65,6313610239.2,2023-03,454.5,1.87
MSFT,2023-03-14,453.85,459.54,452.4,456.11,456.11,10236898,-0.04,4669151546.78,2023-03,454.94,1.81
MSFT,2023-03-15,459.33,463.8,456.58,457.77,457.77,14320774,0.36,6555620713.98,2023-03,455.03,1.76
MSFT,2023-03-16,464.43,465.53,460.17,464.79,464.79,7170102,1.53,3332591708.58,2023-03,455.99,1.71
MSFT,2023-03-17,455.98,462.32,448.42,454.53,454.53,24371227,-2.21,11077453808.31,2023-03,455.91,1.71
MSFT,2023-03-20,444.16,449.97,440.0,443.94,443.94,23426507,-2.33,10399963517.58,2023-03,455.78,1.73
MSFT,2023-03-21,453.21,458.88,447.09,452.26,452.26,17290090,1.88,7819616103.4,2023-03,455.86,1.77
MSFT,2023-03-22,437.56,444.38,431.63,438.9,438.9,28814784,-2.95,12646808697.6,2023-03,454.8,1.82
MSFT,2023-03-23,430.61,433.27,429.76,431.16,431.16,26414049,-1.76,11388681366.84,2023-03,452.67,1.69
MSFT,2023-03-24,426.59,429.93,419.5,425.39,425.39,7460499,-1.34,3173621669.61,2023-03,450.29,1.7
MSFT,2023-03-27,407.53,410.29,405.33,409.07,409.07,9214868,-3.84,3769526052.76,2023-03,447.43,1.84
MSFT,2023-03-28,412.34,415.61,407.45,412.12,412.12,27567562,0.75,11361143651.44,2023-03,444.7,1.86
MSFT,2023-03-29,421.98,425.34,418.18,420.09,420.09,16222581,1.93,6814944052.29,2023-03,442.88,1.91
MSFT,2023-03-30,426.66,431.73,425.18,428.7,428.7,17907073,2.05,7676762195.1,2023-03,441.61,1.98
MSFT,2023-03-31,437.3,440.67,434.23,435.21,435.21,18642850,1.52,8113554748.5,2023-03,441.07,1.99
