order_id,order_item_id,product_id,seller_id,price,freight_value,total_item_value
ord_000861,1,prod_00455,seller_0146,73.36,56.72,130.08
ord_000897,2,prod_00406,seller_0008,29.36,20.71,50.07
ord_000862,3,prod_00068,seller_0055,366.97,32.73,399.7
ord_001848,1,prod_00014,seller_0043,105.66,40.7,146.36
ord_001197,2,prod_00098,seller_0030,54.91,49.26,104.17
ord_000193,3,prod_00279,seller_0059,66.73,11.66,78.39
ord_000515,1,prod_00428,seller_0009,52.88,25.98,78.86
ord_000790,2,prod_00490,seller_0068,125.5,43.47,168.97
ord_000968,3,prod_00473,seller_0081,334.05,29.66,363.71
ord_001592,1,prod_00449,seller_0139,248.13,52.63,300.76
ord_001810,2,prod_00371,seller_0123,89.03,45.84,134.87
ord_001433,3,prod_00247,seller_0130,225.19,22.89,248.08
ord_001712,1,prod_00112,seller_0023,81.01,18.03,99.04
ord_001652,2,prod_00207,seller_0022,49.89,44.6,94.49
ord_000084,3,prod_00352,seller_0140,506.91,34.78,541.69
ord_001695,1,prod_00334,seller_0009,58.47,19.29,77.76
ord_000798,2,prod_00233,seller_0090,61.94,27.95,89.89
ord_000080,3,prod_00061,seller_0033,563.99,26.67,590.66
ord_001602,1,prod_00085,seller_0089,32.25,15.95,48.2
ord_001233,2,prod_00183,seller_0095,186.52,40.08,226.6
ord_000522,3,prod_00239,seller_0069,344.51,52.0,396.51
ord_001223,1,prod_00250,seller_0038,101.04,41.65,142.69
ord_001595,2,prod_00071,seller_0139,15.3,55.45,70.75
ord_000234,3,prod_00228,seller_0064,71.41,17.02,88.43
ord_001843,1,prod_00085,seller_0072,29.2,33.96,63.16
ord_000244,2,prod_00306,seller_0020,79.58,43.52,123.1
ord_001915,3,prod_00488,seller_0034,202.29,47.18,249.47
ord_001417,1,prod_00396,seller_0111,84.3,48.27,132.57
ord_001590,2,prod_00463,seller_0042,82.86,50.09,132.95
ord_001470,3,prod_00271,seller_0136,112.65,45.83,158.48
ord_000849,1,prod_00401,seller_0066,119.58,15.18,134.76
ord_000393,2,prod_00290,seller_0021,247.8,48.24,296.04
ord_000009,3,prod_00236,seller_0079,59.24,49.86,109.1
ord_000613,1,prod_00291,seller_0070,221.9,64.64,286.54
ord_001944,2,prod_00039,seller_0005,115.15,48.13,163.28
ord_000807,3,prod_00486,seller_0067,57.89,47.78,105.67
ord_000715,1,prod_00206,seller_0016,56.97,38.31,95.28
ord_001928,2,prod_00183,seller_0099,68.77,57.74,126.51
ord_001177,3,prod_00187,seller_0073,131.96,64.83,196.79
ord_000110,1,prod_00133,seller_0035,46.49,52.85,99.34
ord_000834,2,prod_00030,seller_0083,318.59,43.69,362.28
ord_000266,3,prod_00388,seller_0110,117.66,14.34,132.0
ord_001397,1,prod_00255,seller_0039,318.11,49.97,368.08
ord_001176,2,prod_00143,seller_0010,20.7,48.97,69.67
ord_000976,3,prod_00103,seller_0148,65.34,52.66,118.0
ord_001619,1,prod_00419,seller_0001,17.77,16.85,34.62
ord_000955,2,prod_00493,seller_0006,53.14,45.96,99.1
ord_001439,3,prod_00074,seller_0066,252.67,26.26,278.93
ord_000907,1,prod_00055,seller_0038,19.48,51.81,71.29
ord_001670,2,prod_00450,seller_0067,83.76,23.22,106.98
ord_001350,3,prod_00236,seller_0100,30.01,47.62,77.63
ord_000672,1,prod_00060,seller_0077,79.72,26.22,105.94
ord_001575,2,prod_00024,seller_0035,234.05,10.49,244.54
ord_000176,3,prod_00476,seller_0045,132.08,44.83,176.91
ord_000525,1,prod_00022,seller_0068,175.16,16.23,191.39
ord_001339,2,prod_00428,seller_0017,66.53,46.26,112.79
ord_001091,3,prod_00032,seller_0005,361.74,60.91,422.65
ord_000952,1,prod_00351,seller_0057,163.24,63.31,226.55
ord_001784,2,prod_00339,seller_0095,80.74,22.98,103.72
ord_001577,3,prod_00435,seller_0030,81.71,54.51,136.22
ord_001208,1,prod_00469,seller_0007,316.13,29.45,345.58
ord_001059,2,prod_00003,seller_0124,118.08,59.53,177.61
ord_001958,3,prod_00070,seller_0091,162.06,53.31,215.37
ord_000505,1,prod_00160,seller_0147,79.76,14.07,93.83
ord_000849,2,prod_00386,seller_0052,45.38,32.39,77.77
ord_000963,3,prod_00088,seller_0006,169.29,28.55,197.84
ord_001826,1,prod_00365,seller_0109,127.33,53.18,180.51
ord_001100,2,prod_00059,seller_0095,98.5,32.57,131.07
ord_000472,3,prod_00252,seller_0066,132.39,47.65,180.04
ord_001606,1,prod_00219,seller_0010,43.03,43.13,86.16
ord_001770,2,prod_00201,seller_0026,204.55,63.66,268.21
ord_000523,3,prod_00077,seller_0133,370.16,61.58,431.74
ord_000880,1,prod_00255,seller_0068,281.08,33.52,314.6
ord_001307,2,prod_00247,seller_0098,61.53,49.8,111.33
ord_001840,3,prod_00270,seller_0071,77.51,55.62,133.13
ord_001560,1,prod_00307,seller_0050,213.28,59.44,272.72
ord_000274,2,prod_00139,seller_0017,123.5,13.75,137.25
ord_001563,3,prod_00078,seller_0011,110.27,26.61,136.88
ord_000054,1,prod_00080,seller_0053,328.49,27.61,356.1
ord_001079,2,prod_00010,seller_0050,107.15,33.89,141.04
ord_000888,3,prod_00468,seller_0136,101.82,19.31,121.13
ord_000745,1,prod_00336,seller_0124,20.15,37.29,57.44
ord_000277,2,prod_00124,seller_0062,23.63,46.48,70.11
ord_001467,3,prod_00186,seller_0076,15.89,37.36,53.25
ord_000883,1,prod_00034,seller_0123,308.36,46.62,354.98
ord_001442,2,prod_00121,seller_0090,77.99,13.65,91.64
ord_000632,3,prod_00080,seller_0029,90.86,58.18,149.04
ord_001249,1,prod_00206,seller_0102,239.02,61.65,300.67
ord_000570,2,prod_00053,seller_0101,127.76,43.98,171.74
ord_001279,3,prod_00156,seller_0110,127.84,58.48,186.32
ord_000176,1,prod_00274,seller_0109,57.21,17.23,74.44
ord_000566,2,prod_00410,seller_0029,230.43,53.86,284.29
ord_001170,3,prod_00358,seller_0059,36.76,16.55,53.31
ord_000771,1,prod_00135,seller_0143,21.55,32.44,53.99
ord_001688,2,prod_00429,seller_0070,40.52,27.81,68.33
ord_001409,3,prod_00098,seller_0096,52.39,42.21,94.6
ord_000262,1,prod_00495,seller_0044,54.81,26.58,81.39
ord_000531,2,prod_00241,seller_0084,148.23,45.05,193.28
ord_001878,3,prod_00045,seller_0121,44.48,30.21,74.69
ord_001395,1,prod_00199,seller_0057,150.49,57.34,207.83
ord_001707,2,prod_00481,seller_0117,26.47,44.86,71.33
ord_000891,3,prod_00291,seller_0064,34.11,21.84,55.95
ord_001928,1,prod_00436,seller_0099,100.31,28.49,128.8
ord_001221,2,prod_00114,seller_0038,320.97,56.61,377.58
ord_000948,3,prod_00487,seller_0145,250.56,31.26,281.82
ord_000585,1,prod_00277,seller_0027,430.9,39.47,470.37
ord_000815,2,prod_00241,seller_0017,141.14,45.69,186.83
ord_001621,3,prod_00156,seller_0063,150.17,29.13,179.3
ord_001308,1,prod_00352,seller_0011,132.71,26.17,158.88
ord_000302,2,prod_00044,seller_0064,132.0,36.14,168.14
ord_001156,3,prod_00080,seller_0039,34.1,21.82,55.92
ord_001144,1,prod_00312,seller_0130,109.16,25.63,134.79
ord_001752,2,prod_00138,seller_0115,73.54,13.41,86.95
ord_001160,3,prod_00151,seller_0045,85.12,26.72,111.84
ord_000628,1,prod_00432,seller_0088,103.98,27.64,131.62
ord_000573,2,prod_00436,seller_0080,31.49,62.9,94.39
ord_000529,3,prod_00242,seller_0009,68.46,42.44,110.9
ord_000034,1,prod_00143,seller_0105,22.87,53.31,76.18
ord_000532,2,prod_00311,seller_0125,482.47,12.5,494.97
ord_001232,3,prod_00299,seller_0078,30.14,15.86,46.0
ord_001994,1,prod_00050,seller_0045,50.89,54.8,105.69
ord_001698,2,prod_00262,seller_0108,281.29,44.3,325.59
ord_001323,3,prod_00161,seller_0099,94.1,20.5,114.6
ord_001546,1,prod_00062,seller_0027,32.49,32.26,64.75
ord_001118,2,prod_00055,seller_0040,73.19,39.63,112.82
ord_001438,3,prod_00423,seller_0026,29.78,56.4,86.18
ord_000371,1,prod_00396,seller_0083,41.81,13.32,55.13
ord_000409,2,prod_00372,seller_0026,21.41,42.82,64.23
ord_001407,3,prod_00484,seller_0070,84.2,49.44,133.64
ord_001465,1,prod_00031,seller_0067,212.18,63.78,275.96
ord_001902,2,prod_00330,seller_0006,120.82,54.39,175.21
ord_001471,3,prod_00437,seller_0028,126.87,25.19,152.06
ord_001643,1,prod_00290,seller_0013,41.86,49.03,90.89
ord_000617,2,prod_00169,seller_0063,65.57,51.98,117.55
ord_000071,3,prod_00266,seller_0013,238.91,50.14,289.05
ord_001967,1,prod_00308,seller_0129,26.03,55.11,81.14
ord_000084,2,prod_00459,seller_0040,249.17,59.71,308.88
ord_000209,3,prod_00185,seller_0031,94.33,15.41,109.74
ord_000259,1,prod_00334,seller_0017,232.79,15.76,248.55
ord_001263,2,prod_00003,seller_0137,60.93,53.8,114.73
ord_001326,3,prod_00441,seller_0109,64.65,23.88,88.53
ord_001256,1,prod_00161,seller_0064,182.13,13.22,195.35
ord_000932,2,prod_00391,seller_0057,199.45,32.07,231.52
ord_000282,3,prod_00260,seller_0141,46.31,55.09,101.4
ord_000394,1,prod_00423,seller_0142,447.86,16.96,464.82
ord_000418,2,prod_00048,seller_0025,25.59,46.95,72.54
ord_001230,3,prod_00254,seller_0122,23.52,10.2,33.72
ord_001288,1,prod_00074,seller_0078,123.61,16.04,139.65
ord_001335,2,prod_00335,seller_0057,168.94,29.3,198.24
ord_000859,3,prod_00400,seller_0071,403.95,14.6,418.55
ord_001930,1,prod_00166,seller_0088,77.29,56.52,133.81
ord_001721,2,prod_00260,seller_0113,18.07,57.52,75.59
ord_000626,3,prod_00004,seller_0100,125.83,51.56,177.39
ord_001103,1,prod_00376,seller_0047,56.05,23.34,79.39
ord_001893,2,prod_00119,seller_0116,83.08,38.78,121.86
ord_001366,3,prod_00484,seller_0131,95.44,20.13,115.57
ord_001837,1,prod_00411,seller_0090,23.0,25.47,48.47
ord_000562,2,prod_00470,seller_0111,94.86,38.38,133.24
ord_000832,3,prod_00470,seller_0090,81.68,50.43,132.11
ord_001119,1,prod_00273,seller_0129,164.6,15.21,179.81
ord_001794,2,prod_00493,seller_0139,139.5,26.32,165.82
ord_000941,3,prod_00226,seller_0135,39.58,60.96,100.54
ord_001375,1,prod_00352,seller_0012,42.7,33.6,76.3
ord_000062,2,prod_00500,seller_0106,49.68,61.64,111.32
ord_001166,3,prod_00070,seller_0122,38.66,64.53,103.19
ord_001866,1,prod_00182,seller_0053,143.48,38.97,182.45
ord_000734,2,prod_00353,seller_0100,637.85,25.84,663.69
ord_001892,3,prod_00264,seller_0037,141.7,53.49,195.19
ord_001135,1,prod_00370,seller_0119,126.98,18.76,145.74
ord_001640,2,prod_00181,seller_0059,78.3,23.86,102.16
ord_001551,3,prod_00484,seller_0054,59.98,53.17,113.15
ord_000782,1,prod_00005,seller_0146,305.39,33.85,339.24
ord_001695,2,prod_00197,seller_0001,431.86,21.08,452.94
ord_001181,3,prod_00047,seller_0149,97.41,45.81,143.22
ord_000539,1,prod_00458,seller_0028,56.13,50.3,106.43
ord_000597,2,prod_00040,seller_0112,191.42,16.88,208.3
ord_000009,3,prod_00122,seller_0016,32.05,25.23,57.28
ord_000276,1,prod_00135,seller_0028,189.08,22.17,211.25
ord_000227,2,prod_00140,seller_0112,220.08,30.89,250.97
ord_000186,3,prod_00350,seller_0129,31.01,51.99,83.0
ord_000591,1,prod_00153,seller_0116,466.95,49.25,516.2
ord_001240,2,prod_00028,seller_0098,523.13,46.44,569.57
ord_000433,3,prod_00427,seller_0070,346.22,10.35,356.57
ord_000569,1,prod_00077,seller_0092,97.23,17.82,115.05
ord_000656,2,prod_00175,seller_0003,48.9,22.28,71.18
ord_000356,3,prod_00049,seller_0081,119.68,24.96,144.64
ord_000843,1,prod_00342,seller_0044,80.35,18.05,98.4
ord_000392,2,prod_00310,seller_0024,42.67,32.57,75.24
ord_000579,3,prod_00274,seller_0148,81.13,14.13,95.26
ord_001299,1,prod_00027,seller_0099,145.84,51.25,197.09
ord_001518,2,prod_00328,seller_0141,23.83,53.32,77.15
ord_001641,3,prod_00390,seller_0112,63.67,41.58,105.25
ord_001475,1,prod_00459,seller_0148,17.15,14.93,32.08
ord_000420,2,prod_00221,seller_0123,181.11,58.95,240.06
ord_001724,3,prod_00122,seller_0112,137.83,63.11,200.94
ord_000164,1,prod_00361,seller_0130,22.77,21.13,43.9
ord_000779,2,prod_00069,seller_0068,416.39,48.76,465.15
ord_001587,3,prod_00071,seller_0091,17.75,56.31,74.06
ord_000638,1,prod_00150,seller_0060,121.98,39.69,161.67
ord_001616,2,prod_00187,seller_0132,194.73,27.78,222.51
ord_001207,3,prod_00431,seller_0124,201.08,36.32,237.4
ord_001334,1,prod_00373,seller_0096,19.19,38.17,57.36
ord_000017,2,prod_00246,seller_0145,299.27,32.04,331.31
ord_000446,3,prod_00196,seller_0129,315.79,61.14,376.93
ord_000170,1,prod_00032,seller_0033,113.9,50.91,164.81
ord_001304,2,prod_00467,seller_0030,93.95,23.27,117.22
ord_001937,3,prod_00109,seller_0005,20.51,42.21,62.72
ord_001840,1,prod_00353,seller_0118,114.05,47.88,161.93
ord_000340,2,prod_00001,seller_0140,78.19,17.71,95.9
ord_000726,3,prod_00182,seller_0038,192.83,29.71,222.54
ord_001734,1,prod_00174,seller_0017,77.08,59.81,136.89
ord_001543,2,prod_00169,seller_0109,153.08,41.19,194.27
ord_001934,3,prod_00248,seller_0040,27.83,21.93,49.76
ord_001035,1,prod_00108,seller_0140,32.12,16.75,48.87
ord_001548,2,prod_00370,seller_0111,33.06,38.5,71.56
ord_001646,3,prod_00297,seller_0128,20.59,40.12,60.71
ord_000133,1,prod_00264,seller_0095,108.53,28.39,136.92
ord_000901,2,prod_00416,seller_0147,204.57,44.67,249.24
ord_000640,3,prod_00030,seller_0029,128.12,13.78,141.9
ord_001172,1,prod_00302,seller_0145,117.67,17.98,135.65
ord_001590,2,prod_00476,seller_0073,151.97,40.05,192.02
ord_000823,3,prod_00361,seller_0021,64.8,13.4,78.2
ord_000954,1,prod_00436,seller_0060,68.92,58.45,127.37
ord_000079,2,prod_00352,seller_0098,60.27,17.82,78.09
ord_000346,3,prod_00473,seller_0075,164.42,47.07,211.49
ord_000609,1,prod_00482,seller_0119,36.16,31.52,67.68
ord_001273,2,prod_00317,seller_0148,16.57,31.99,48.56
ord_000639,3,prod_00225,seller_0113,123.82,52.07,175.89
ord_001566,1,prod_00397,seller_0114,357.47,37.47,394.94
ord_001048,2,prod_00089,seller_0103,127.81,49.91,177.72
ord_001495,3,prod_00234,seller_0080,198.3,37.79,236.09
ord_001225,1,prod_00168,seller_0063,149.06,42.61,191.67
ord_000131,2,prod_00231,seller_0057,97.56,51.84,149.4
ord_001658,3,prod_00126,seller_0029,167.07,43.4,210.47
ord_000356,1,prod_00061,seller_0129,223.54,43.86,267.4
ord_000944,2,prod_00120,seller_0124,45.55,53.41,98.96
ord_001863,3,prod_00428,seller_0059,64.16,62.2,126.36
ord_000150,1,prod_00497,seller_0086,45.39,30.72,76.11
ord_001550,2,prod_00190,seller_0071,87.22,41.74,128.96
ord_001328,3,prod_00121,seller_0089,274.61,14.75,289.36
ord_001565,1,prod_00428,seller_0098,65.81,29.73,95.54
ord_000050,2,prod_00048,seller_0044,71.3,32.66,103.96
ord_000464,3,prod_00202,seller_0116,251.25,55.94,307.19
ord_001264,1,prod_00059,seller_0075,101.93,38.24,140.17
ord_001506,2,prod_00185,seller_0143,107.0,50.21,157.21
ord_001930,3,prod_00223,seller_0023,251.62,11.05,262.67
ord_000455,1,prod_00492,seller_0045,95.93,35.55,131.48
ord_001307,2,prod_00011,seller_0092,152.32,59.57,211.89
ord_000335,3,prod_00281,seller_0013,25.74,22.34,48.08
ord_001376,1,prod_00189,seller_0034,38.61,11.73,50.34
ord_000668,2,prod_00302,seller_0070,77.18,33.84,111.02
ord_001673,3,prod_00310,seller_0108,96.95,48.74,145.69
ord_000327,1,prod_00500,seller_0133,419.83,35.0,454.83
ord_001016,2,prod_00237,seller_0126,438.42,35.3,473.72
ord_000336,3,prod_00034,seller_0021,243.62,46.84,290.46
ord_000666,1,prod_00340,seller_0131,60.51,23.99,84.5
ord_000995,2,prod_00135,seller_0023,414.0,51.35,465.35
ord_000081,3,prod_00481,seller_0019,155.29,18.42,173.71
ord_000087,1,prod_00062,seller_0050,74.9,31.77,106.67
ord_001800,2,prod_00313,seller_0020,160.15,46.08,206.23
ord_000258,3,prod_00227,seller_0116,17.0,55.56,72.56
ord_000991,1,prod_00093,seller_0092,33.96,53.53,87.49
ord_000185,2,prod_00116,seller_0093,227.41,49.69,277.1
ord_001716,3,prod_00332,seller_0083,139.47,29.75,169.22
ord_000698,1,prod_00133,seller_0053,69.34,16.73,86.07
ord_000123,2,prod_00332,seller_0123,98.34,21.93,120.27
ord_001913,3,prod_00477,seller_0085,297.65,57.57,355.22
ord_001120,1,prod_00419,seller_0082,134.82,57.15,191.97
ord_000605,2,prod_00468,seller_0009,75.93,62.34,138.27
ord_000515,3,prod_00293,seller_0004,30.38,14.18,44.56
ord_000904,1,prod_00444,seller_0025,56.73,39.52,96.25
ord_001467,2,prod_00193,seller_0034,474.88,45.68,520.56
ord_001538,3,prod_00400,seller_0073,84.01,49.09,133.1
ord_001982,1,prod_00030,seller_0137,91.6,45.41,137.01
ord_001395,2,prod_00457,seller_0082,97.84,52.35,150.19
ord_000305,3,prod_00298,seller_0141,273.61,29.77,303.38
ord_001381,1,prod_00061,seller_0137,126.14,19.87,146.01
ord_001172,2,prod_00458,seller_0004,156.97,21.25,178.22
ord_001309,3,prod_00461,seller_0007,74.2,10.66,84.86
ord_000657,1,prod_00304,seller_0015,18.54,29.27,47.81
ord_001866,2,prod_00446,seller_0038,335.79,15.05,350.84
ord_001897,3,prod_00340,seller_0091,372.41,27.68,400.09
ord_001942,1,prod_00349,seller_0052,372.47,44.55,417.02
ord_000262,2,prod_00448,seller_0081,360.22,59.2,419.42
ord_001598,3,prod_00441,seller_0100,217.64,56.18,273.82
ord_000491,1,prod_00324,seller_0007,153.47,23.9,177.37
ord_000738,2,prod_00302,seller_0107,238.34,17.37,255.71
ord_001055,3,prod_00369,seller_0045,125.12,20.62,145.74
ord_000702,1,prod_00028,seller_0059,32.32,63.4,95.72
ord_000887,2,prod_00485,seller_0122,74.56,40.22,114.78
ord_001292,3,prod_00077,seller_0021,441.08,20.04,461.12
ord_000012,1,prod_00121,seller_0003,66.9,56.24,123.14
ord_001215,2,prod_00003,seller_0142,257.84,31.74,289.58
ord_001424,3,prod_00037,seller_0002,26.74,59.46,86.2
ord_001561,1,prod_00432,seller_0029,63.81,24.34,88.15
ord_001942,2,prod_00147,seller_0146,66.87,31.63,98.5
ord_000091,3,prod_00092,seller_0037,21.36,37.77,59.13
ord_000600,1,prod_00339,seller_0045,30.22,59.09,89.31
ord_001868,2,prod_00273,seller_0120,40.76,57.78,98.54
ord_001525,3,prod_00466,seller_0046,233.28,41.59,274.87
ord_001810,1,prod_00466,seller_0140,22.86,22.2,45.06
ord_000301,2,prod_00377,seller_0053,57.58,32.18,89.76
ord_001135,3,prod_00087,seller_0045,16.23,63.66,79.89
ord_000080,1,prod_00040,seller_0032,157.74,43.43,201.17
ord_000836,2,prod_00178,seller_0018,131.21,52.96,184.17
ord_000652,3,prod_00329,seller_0013,139.27,34.74,174.01
ord_000433,1,prod_00285,seller_0132,71.28,39.26,110.54
ord_000417,2,prod_00435,seller_0023,43.02,33.59,76.61
ord_001238,3,prod_00042,seller_0062,167.89,48.66,216.55
ord_001471,1,prod_00285,seller_0054,215.0,56.83,271.83
ord_000018,2,prod_00066,seller_0069,32.9,37.9,70.8
ord_001078,3,prod_00124,seller_0014,95.06,36.45,131.51
ord_001904,1,prod_00145,seller_0098,49.32,28.72,78.04
ord_001633,2,prod_00120,seller_0028,37.09,19.74,56.83
ord_001819,3,prod_00109,seller_0095,174.06,61.66,235.72
ord_000746,1,prod_00415,seller_0071,107.69,27.38,135.07
ord_000240,2,prod_00092,seller_0067,44.23,54.04,98.27
ord_000846,3,prod_00491,seller_0100,59.53,49.34,108.87
ord_001945,1,prod_00368,seller_0061,423.1,53.5,476.6
ord_000418,2,prod_00308,seller_0103,241.6,61.52,303.12
ord_000856,3,prod_00423,seller_0137,269.38,44.29,313.67
ord_001510,1,prod_00060,seller_0119,88.95,59.39,148.34
ord_001468,2,prod_00350,seller_0017,132.32,19.22,151.54
ord_001590,3,prod_00227,seller_0049,71.74,44.47,116.21
ord_000599,1,prod_00240,seller_0078,24.71,52.48,77.19
ord_001797,2,prod_00435,seller_0046,76.51,24.94,101.45
ord_001772,3,prod_00212,seller_0093,123.16,50.74,173.9
ord_001147,1,prod_00400,seller_0121,55.62,52.82,108.44
ord_000420,2,prod_00098,seller_0013,241.03,55.72,296.75
ord_001590,3,prod_00014,seller_0045,34.66,27.21,61.87
ord_000216,1,prod_00218,seller_0017,69.9,47.49,117.39
ord_001444,2,prod_00468,seller_0047,31.01,26.73,57.74
ord_000709,3,prod_00170,seller_0062,77.27,50.65,127.92
ord_000551,1,prod_00307,seller_0043,19.86,35.46,55.32
ord_000966,2,prod_00280,seller_0068,53.19,42.86,96.05
ord_001901,3,prod_00363,seller_0124,76.45,32.87,109.32
ord_001252,1,prod_00210,seller_0109,93.05,18.91,111.96
ord_001261,2,prod_00256,seller_0028,109.15,19.79,128.94
ord_001668,3,prod_00171,seller_0094,53.59,14.27,67.86
ord_001354,1,prod_00073,seller_0118,103.84,43.99,147.83
ord_000833,2,prod_00147,seller_0091,100.36,56.68,157.04
ord_001493,3,prod_00340,seller_0084,60.61,11.15,71.76
ord_000680,1,prod_00317,seller_0033,227.78,13.64,241.42
ord_000487,2,prod_00106,seller_0025,109.66,35.16,144.82
ord_001573,3,prod_00094,seller_0019,63.46,50.57,114.03
ord_001603,1,prod_00063,seller_0106,368.26,18.67,386.93
ord_000623,2,prod_00154,seller_0033,238.81,24.94,263.75
ord_001439,3,prod_00255,seller_0067,501.07,22.76,523.83
ord_000219,1,prod_00351,seller_0142,156.41,31.95,188.36
ord_000721,2,prod_00035,seller_0042,72.02,22.37,94.39
ord_000381,3,prod_00323,seller_0095,54.56,29.39,83.95
ord_000087,1,prod_00312,seller_0047,145.63,50.07,195.7
ord_001485,2,prod_00296,seller_0035,489.45,43.61,533.06
ord_000815,3,prod_00253,seller_0117,133.25,14.46,147.71
ord_000411,1,prod_00157,seller_0076,271.06,45.08,316.14
ord_000691,2,prod_00134,seller_0142,62.9,36.24,99.14
ord_001940,3,prod_00436,seller_0146,77.7,61.4,139.1
ord_001013,1,prod_00129,seller_0128,299.09,25.91,325.0
ord_000525,2,prod_00436,seller_0055,184.7,49.94,234.64
ord_000447,3,prod_00280,seller_0098,493.22,50.2,543.42
ord_000300,1,prod_00358,seller_0108,193.87,22.18,216.05
ord_000408,2,prod_00418,seller_0049,86.42,59.68,146.1
ord_001661,3,prod_00371,seller_0113,105.88,37.02,142.9
ord_000375,1,prod_00252,seller_0134,291.93,47.34,339.27
ord_000233,2,prod_00135,seller_0070,111.26,18.02,129.28
ord_001787,3,prod_00331,seller_0086,50.39,24.18,74.57
ord_001923,1,prod_00011,seller_0136,83.64,42.24,125.88
ord_000638,2,prod_00292,seller_0143,102.16,27.55,129.71
ord_001771,3,prod_00148,seller_0039,27.21,37.48,64.69
ord_000650,1,prod_00319,seller_0131,178.4,30.57,208.97
ord_000961,2,prod_00080,seller_0010,28.9,45.23,74.13
ord_001073,3,prod_00191,seller_0003,77.29,36.79,114.08
ord_001916,1,prod_00453,seller_0046,210.94,10.25,221.19
ord_000186,2,prod_00344,seller_0067,90.64,45.73,136.37
ord_001229,3,prod_00030,seller_0097,236.43,33.22,269.65
ord_000078,1,prod_00414,seller_0019,65.2,28.79,93.99
ord_001505,2,prod_00359,seller_0062,394.38,15.18,409.56
ord_001410,3,prod_00368,seller_0098,43.21,22.12,65.33
ord_000194,1,prod_00495,seller_0057,19.68,22.31,41.99
ord_001127,2,prod_00229,seller_0095,262.09,61.45,323.54
ord_001641,3,prod_00481,seller_0107,182.42,33.79,216.21
ord_001400,1,prod_00084,seller_0088,46.67,12.31,58.98
ord_000287,2,prod_00150,seller_0141,516.92,17.63,534.55
ord_001860,3,prod_00361,seller_0144,98.73,14.35,113.08
