order_id,payment_sequential,payment_type,payment_installments,payment_value
ord_001046,1,credit_card,9,330.36
ord_000714,1,boleto,1,28.7
ord_000068,1,credit_card,1,333.27
ord_001672,1,credit_card,1,58.36
ord_000743,1,credit_card,7,31.36
ord_001082,1,voucher,1,169.91
ord_001551,1,credit_card,3,547.97
ord_001288,1,credit_card,8,28.25
ord_001706,1,credit_card,7,97.75
ord_001447,1,credit_card,7,125.64
ord_001022,1,credit_card,1,60.67
ord_001523,1,credit_card,1,589.39
ord_000291,1,boleto,1,163.41
ord_000169,1,credit_card,2,280.42
ord_001584,1,credit_card,2,95.25
ord_001486,1,credit_card,5,81.16
ord_001632,1,credit_card,9,132.78
ord_001863,1,credit_card,7,100.0
ord_000556,1,credit_card,2,195.71
ord_000353,1,voucher,1,63.26
ord_001264,1,credit_card,5,103.59
ord_001827,1,credit_card,5,335.71
ord_000283,1,boleto,1,217.54
ord_001473,1,credit_card,8,45.76
ord_001606,1,credit_card,9,325.08
ord_001789,1,credit_card,8,144.49
ord_001090,1,credit_card,2,179.21
ord_001351,1,boleto,1,68.79
ord_000456,1,credit_card,4,101.56
ord_000959,1,credit_card,2,250.17
ord_001005,1,boleto,1,76.21
ord_000477,1,credit_card,6,45.26
ord_001872,1,credit_card,4,86.54
ord_000285,1,credit_card,7,30.04
ord_000031,1,credit_card,2,197.15
ord_000448,1,credit_card,9,42.38
ord_000214,1,credit_card,5,66.99
ord_001717,1,credit_card,1,318.1
ord_001738,1,credit_card,3,128.87
ord_001604,1,credit_card,4,74.27
ord_001049,1,credit_card,3,131.07
ord_001784,1,credit_card,6,54.48
ord_001397,1,credit_card,6,23.57
ord_000397,1,credit_card,10,149.59
ord_000337,1,credit_card,7,195.31
ord_000936,1,credit_card,9,316.58
ord_000968,1,credit_card,10,226.91
ord_000855,1,credit_card,9,385.8
ord_000903,1,credit_card,7,617.15
ord_000672,1,credit_card,1,211.27
ord_001304,1,boleto,1,303.41
ord_000769,1,boleto,1,176.8
ord_000623,1,credit_card,3,46.24
ord_000559,1,credit_card,5,48.07
ord_001715,1,credit_card,10,36.36
ord_000548,1,boleto,1,421.0
ord_000923,1,boleto,1,176.39
ord_001222,1,credit_card,6,238.43
ord_000554,1,boleto,1,76.31
ord_000479,1,credit_card,6,106.38
ord_000844,1,credit_card,5,25.68
ord_001626,1,credit_card,6,327.76
ord_001881,1,credit_card,9,288.43
ord_001604,1,boleto,1,235.07
ord_000070,1,credit_card,1,28.41
ord_000505,1,credit_card,1,46.8
ord_000110,1,credit_card,9,76.94
ord_001406,1,credit_card,8,62.74
ord_000397,1,credit_card,9,275.22
ord_001433,1,credit_card,7,50.34
ord_000351,1,credit_card,10,126.34
ord_001558,1,credit_card,6,138.61
ord_001525,1,credit_card,9,97.48
ord_000995,1,credit_card,2,58.55
ord_000789,1,credit_card,4,471.68
ord_001935,1,credit_card,2,94.68
ord_001731,1,credit_card,6,201.92
ord_000421,1,credit_card,1,48.48
ord_001581,1,credit_card,7,262.28
ord_000922,1,credit_card,7,54.05
ord_000111,1,credit_card,7,177.48
ord_000209,1,credit_card,4,118.87
ord_001766,1,debit_card,1,42.19
ord_001463,1,credit_card,8,23.54
ord_001202,1,boleto,1,393.8
ord_000931,1,credit_card,5,38.8
ord_001786,1,credit_card,2,190.89
ord_000425,1,credit_card,5,168.05
ord_000328,1,boleto,1,78.54
ord_001908,1,credit_card,10,48.71
ord_000011,1,credit_card,9,47.5
ord_001276,1,credit_card,10,143.24
ord_000856,1,credit_card,1,130.84
ord_001259,1,boleto,1,312.17
ord_001672,1,boleto,1,163.03
ord_000254,1,credit_card,2,259.51
ord_001590,1,credit_card,10,24.61
ord_001502,1,boleto,1,175.63
ord_000129,1,credit_card,8,57.27
ord_001762,1,credit_card,5,60.81
ord_001556,1,boleto,1,198.5
ord_000100,1,credit_card,9,240.8
ord_000290,1,credit_card,6,85.07
ord_001593,1,credit_card,8,238.54
ord_001250,1,credit_card,1,102.11
ord_001677,1,credit_card,9,292.92
ord_001149,1,credit_card,9,23.53
ord_001462,1,credit_card,3,32.21
ord_001845,1,boleto,1,229.68
ord_001588,1,boleto,1,156.98
ord_000646,1,credit_card,1,134.63
ord_001828,1,boleto,1,153.26
ord_000665,1,boleto,1,392.68
ord_001371,1,credit_card,8,169.21
ord_000698,1,credit_card,8,165.97
ord_001775,1,credit_card,9,219.49
ord_000183,1,credit_card,6,302.04
ord_000351,1,credit_card,9,62.52
ord_001539,1,credit_card,10,154.27
ord_001820,1,credit_card,9,142.78
ord_001402,1,credit_card,4,40.28
ord_000708,1,credit_card,5,122.85
ord_001489,1,credit_card,6,30.09
ord_000678,1,boleto,1,48.63
ord_000802,1,credit_card,6,361.8
ord_000340,1,credit_card,10,37.78
ord_001165,1,credit_card,2,141.09
ord_000111,1,credit_card,4,74.71
ord_000261,1,credit_card,9,133.45
ord_001920,1,boleto,1,57.5
ord_001212,1,credit_card,7,102.27
ord_001880,1,boleto,1,302.79
ord_000371,1,credit_card,9,86.07
ord_001382,1,credit_card,6,80.96
ord_001297,1,credit_card,7,102.71
ord_001721,1,credit_card,9,34.83
ord_001823,1,credit_card,4,88.59
ord_000604,1,credit_card,9,20.97
ord_000449,1,debit_card,1,118.0
ord_001730,1,boleto,1,283.69
ord_001441,1,boleto,1,132.44
ord_001896,1,credit_card,3,151.01
ord_000861,1,credit_card,8,24.35
ord_001412,1,credit_card,3,294.77
ord_001362,1,credit_card,3,88.06
ord_001335,1,credit_card,3,535.62
ord_001944,1,credit_card,9,37.97
ord_001952,1,credit_card,10,425.23
ord_001353,1,boleto,1,160.83
ord_001071,1,voucher,1,27.53
ord_000656,1,credit_card,3,519.08
ord_000149,1,boleto,1,21.96
ord_000350,1,credit_card,6,203.67
ord_000323,1,credit_card,4,328.42
ord_000865,1,boleto,1,47.07
ord_001951,1,credit_card,2,78.89
ord_001144,1,boleto,1,135.33
ord_001005,1,credit_card,3,179.44
ord_000398,1,boleto,1,307.67
ord_000646,1,debit_card,1,220.42
ord_001221,1,credit_card,5,83.21
ord_000413,1,credit_card,10,261.42
ord_001463,1,credit_card,4,493.71
ord_000037,1,credit_card,5,56.04
ord_000187,1,credit_card,1,30.78
ord_000420,1,boleto,1,97.87
ord_000725,1,credit_card,4,318.48
ord_001484,1,voucher,1,42.8
ord_001134,1,credit_card,10,323.77
ord_000187,1,credit_card,3,699.74
ord_000471,1,credit_card,2,27.77
ord_001102,1,credit_card,7,115.72
ord_001984,1,credit_card,10,75.83
ord_001963,1,credit_card,9,90.05
ord_001398,1,credit_card,1,104.11
ord_000810,1,credit_card,7,208.43
ord_000330,1,credit_card,1,145.27
ord_001149,1,boleto,1,474.91
ord_001340,1,boleto,1,76.65
ord_000958,1,credit_card,5,129.17
ord_000320,1,credit_card,1,254.98
ord_000475,1,credit_card,3,85.36
ord_001513,1,voucher,1,107.65
ord_000826,1,credit_card,8,181.71
ord_000514,1,credit_card,4,296.0
ord_000334,1,credit_card,1,95.22
ord_001095,1,credit_card,1,126.29
ord_000465,1,credit_card,8,537.13
ord_001400,1,credit_card,8,26.08
ord_000724,1,credit_card,4,103.25
ord_000008,1,credit_card,4,161.48
ord_001720,1,credit_card,10,21.18
ord_000164,1,credit_card,2,147.16
ord_001989,1,boleto,1,28.1
ord_000781,1,credit_card,2,292.84
ord_001319,1,voucher,1,250.37
ord_000358,1,credit_card,6,24.59
ord_000081,1,credit_card,8,27.0
ord_000774,1,credit_card,7,216.12
ord_001299,1,credit_card,7,84.58
ord_000921,1,credit_card,3,139.8
ord_000899,1,credit_card,2,64.12
ord_001641,1,boleto,1,46.59
ord_001845,1,credit_card,10,69.15
ord_001564,1,credit_card,7,59.66
ord_000922,1,boleto,1,103.27
ord_001071,1,credit_card,4,212.23
ord_001416,1,credit_card,1,133.08
ord_000825,1,credit_card,1,151.53
ord_001591,1,credit_card,4,108.9
ord_001018,1,credit_card,5,74.97
ord_001103,1,credit_card,5,41.69
ord_001537,1,credit_card,1,81.3
ord_000680,1,credit_card,3,173.19
ord_001047,1,credit_card,6,205.28
ord_001252,1,credit_card,10,108.67
ord_000438,1,credit_card,7,164.99
ord_001322,1,credit_card,1,53.1
ord_002000,1,boleto,1,295.32
ord_000946,1,credit_card,8,301.32
ord_001284,1,credit_card,4,74.06
ord_000776,1,credit_card,9,131.08
ord_000676,1,boleto,1,150.63
ord_000010,1,credit_card,6,109.53
ord_001652,1,credit_card,1,358.9
ord_000158,1,credit_card,2,208.44
ord_000868,1,debit_card,1,176.28
ord_000784,1,credit_card,3,122.78
ord_001182,1,credit_card,2,32.41
ord_000320,1,credit_card,10,35.97
ord_001900,1,credit_card,7,69.74
ord_001226,1,credit_card,1,53.27
ord_000121,1,boleto,1,446.67
ord_000139,1,credit_card,9,93.82
ord_000674,1,credit_card,2,312.93
ord_001744,1,credit_card,4,258.59
ord_001591,1,credit_card,8,254.41
ord_001363,1,credit_card,3,54.02
ord_001284,1,credit_card,9,103.02
ord_001457,1,credit_card,7,73.57
ord_000044,1,credit_card,10,512.85
ord_001183,1,credit_card,3,313.09
ord_000816,1,boleto,1,60.26
ord_001379,1,credit_card,3,72.67
ord_000098,1,boleto,1,125.38
ord_001562,1,credit_card,5,65.72
ord_001895,1,credit_card,5,263.64
ord_001734,1,credit_card,10,259.48
ord_001633,1,credit_card,5,200.4
ord_000239,1,credit_card,9,183.65
ord_000475,1,boleto,1,130.95
ord_000524,1,voucher,1,79.69
ord_000557,1,credit_card,9,273.91
ord_001416,1,boleto,1,294.09
ord_000009,1,credit_card,6,27.11
ord_001537,1,voucher,1,91.19
ord_001413,1,credit_card,7,23.78
ord_001863,1,boleto,1,276.1
ord_001234,1,credit_card,10,47.29
ord_001078,1,boleto,1,176.86
ord_000616,1,credit_card,8,81.91
ord_000152,1,credit_card,9,257.04
ord_000410,1,credit_card,6,119.78
ord_000010,1,boleto,1,74.9
ord_000957,1,credit_card,8,74.79
ord_000552,1,credit_card,2,75.43
ord_000556,1,credit_card,10,237.55
ord_000880,1,boleto,1,193.84
ord_000268,1,credit_card,8,73.83
ord_001014,1,credit_card,2,114.33
ord_001814,1,boleto,1,31.09
ord_000667,1,credit_card,8,266.03
ord_000451,1,credit_card,2,63.29
ord_000594,1,credit_card,3,328.04
ord_001221,1,boleto,1,147.16
ord_000398,1,credit_card,7,137.45
ord_000921,1,credit_card,9,44.86
ord_001076,1,boleto,1,30.09
ord_001759,1,credit_card,3,132.61
ord_001493,1,boleto,1,108.35
ord_001392,1,credit_card,5,37.85
ord_001398,1,credit_card,9,272.75
ord_001083,1,credit_card,7,95.6
ord_000294,1,credit_card,2,62.24
ord_000788,1,credit_card,5,237.34
ord_001870,1,credit_card,5,361.96
ord_001812,1,voucher,1,71.13
ord_000952,1,credit_card,9,229.42
ord_000869,1,boleto,1,167.99
ord_000110,1,credit_card,2,660.96
ord_001566,1,credit_card,1,51.94
ord_000107,1,boleto,1,473.04
ord_001013,1,credit_card,4,73.02
ord_000297,1,boleto,1,94.33
ord_001876,1,credit_card,4,82.22
ord_000839,1,credit_card,1,63.76
ord_001855,1,credit_card,10,185.43
ord_001989,1,credit_card,7,144.53
ord_001119,1,credit_card,2,71.08
ord_001821,1,credit_card,9,39.85
ord_001743,1,credit_card,7,73.45
ord_000985,1,credit_card,7,87.2
ord_000845,1,boleto,1,87.07
ord_001708,1,boleto,1,81.88
ord_001496,1,credit_card,1,26.99
ord_000079,1,credit_card,9,107.32
ord_001274,1,credit_card,10,273.28
ord_000730,1,credit_card,9,47.85
ord_000339,1,credit_card,2,42.04
ord_000057,1,debit_card,1,109.37
ord_000920,1,credit_card,10,84.82
ord_000147,1,credit_card,9,135.35
ord_000746,1,boleto,1,431.44
ord_001041,1,credit_card,2,220.31
ord_000368,1,boleto,1,182.64
ord_000709,1,credit_card,2,95.28
ord_001213,1,credit_card,8,67.43
ord_001668,1,boleto,1,128.79
ord_000248,1,credit_card,3,323.34
ord_000150,1,credit_card,3,313.09
ord_000714,1,credit_card,7,102.56
ord_001237,1,boleto,1,59.57
ord_000217,1,credit_card,10,55.75
ord_001030,1,credit_card,6,24.84
ord_000670,1,credit_card,7,278.91
ord_000861,1,credit_card,6,63.07
ord_001611,1,credit_card,9,82.26
ord_001419,1,credit_card,2,251.93
ord_001787,1,credit_card,8,37.9
ord_000304,1,credit_card,6,106.59
ord_001582,1,boleto,1,38.27
ord_001435,1,credit_card,4,101.64
ord_000403,1,credit_card,6,26.76
ord_001878,1,credit_card,6,122.06
ord_000860,1,credit_card,10,242.35
ord_001851,1,boleto,1,177.91
ord_000380,1,credit_card,3,119.63
ord_000452,1,credit_card,8,267.06
ord_001253,1,credit_card,5,56.19
ord_000694,1,boleto,1,268.73
ord_001529,1,credit_card,10,65.29
ord_001619,1,credit_card,4,83.03
ord_000145,1,credit_card,2,39.24
ord_000050,1,boleto,1,35.02
ord_001448,1,credit_card,10,396.58
ord_001124,1,voucher,1,49.5
ord_000343,1,credit_card,1,76.76
ord_000882,1,credit_card,7,125.45
ord_001756,1,boleto,1,79.85
ord_001675,1,credit_card,10,305.77
ord_000890,1,credit_card,3,343.37
ord_001550,1,voucher,1,75.23
ord_001037,1,credit_card,3,33.52
ord_001880,1,credit_card,3,53.03
ord_000762,1,credit_card,10,110.05
ord_000848,1,credit_card,3,67.65
ord_000924,1,boleto,1,104.58
ord_001196,1,credit_card,2,219.04
ord_001513,1,credit_card,6,96.42
ord_001855,1,credit_card,10,50.72
ord_001383,1,credit_card,3,82.04
ord_001130,1,boleto,1,210.2
ord_000189,1,boleto,1,97.25
ord_001553,1,credit_card,1,60.19
ord_001074,1,credit_card,10,98.06
ord_001273,1,boleto,1,104.93
ord_000410,1,credit_card,9,69.21
ord_001415,1,credit_card,6,782.4
ord_001403,1,credit_card,6,224.32
ord_000227,1,credit_card,10,185.08
ord_001615,1,boleto,1,290.21
ord_001808,1,credit_card,9,173.7
ord_000213,1,voucher,1,239.15
ord_001553,1,credit_card,2,94.47
ord_001005,1,credit_card,10,117.14
ord_001370,1,voucher,1,26.74
ord_000419,1,boleto,1,66.12
ord_001787,1,credit_card,9,84.24
ord_001876,1,credit_card,3,157.49
ord_001108,1,boleto,1,107.36
ord_000919,1,credit_card,3,151.05
ord_001221,1,credit_card,3,194.92
ord_000777,1,credit_card,1,26.11
ord_001554,1,credit_card,10,61.83
ord_000221,1,credit_card,7,46.24
ord_001867,1,credit_card,10,49.06
ord_001771,1,credit_card,7,117.92
ord_000176,1,credit_card,2,208.58
ord_000584,1,credit_card,6,64.59
ord_001627,1,credit_card,4,263.58
ord_001346,1,credit_card,7,332.18
ord_000535,1,credit_card,7,80.42
ord_000725,1,credit_card,4,180.12
ord_001418,1,debit_card,1,37.43
ord_001830,1,credit_card,3,210.78
ord_001664,1,credit_card,7,45.25
ord_001595,1,credit_card,9,182.8
ord_000324,1,credit_card,4,96.72
ord_000085,1,boleto,1,389.24
ord_001020,1,credit_card,6,107.43
ord_001765,1,boleto,1,24.39
ord_000887,1,credit_card,7,111.73
ord_001451,1,credit_card,10,242.21
ord_001292,1,credit_card,3,165.81
ord_000112,1,credit_card,5,494.7
ord_000628,1,boleto,1,279.45
ord_000949,1,credit_card,1,124.68
ord_000750,1,credit_card,6,52.39
ord_001422,1,credit_card,5,20.53
ord_000052,1,boleto,1,571.24
ord_000084,1,boleto,1,410.01
ord_001647,1,credit_card,7,64.86
ord_000712,1,credit_card,9,162.34
ord_000731,1,credit_card,4,202.91
ord_000741,1,credit_card,9,140.79
ord_000829,1,credit_card,6,279.18
ord_000425,1,credit_card,5,31.34
ord_001045,1,debit_card,1,337.54
ord_001712,1,boleto,1,89.67
ord_000056,1,credit_card,2,111.74
ord_001315,1,credit_card,1,102.36
ord_000812,1,debit_card,1,126.09
ord_000807,1,credit_card,8,147.64
ord_001009,1,credit_card,6,193.47
ord_000655,1,boleto,1,124.2
ord_001007,1,credit_card,7,181.62
ord_000908,1,credit_card,6,77.81
ord_001397,1,credit_card,10,406.34
ord_001762,1,credit_card,7,29.34
ord_000008,1,credit_card,9,130.41
ord_000124,1,credit_card,5,32.8
ord_001782,1,credit_card,1,101.87
ord_001125,1,debit_card,1,61.7
ord_000990,1,credit_card,1,406.83
ord_000835,1,credit_card,9,21.84
ord_001886,1,credit_card,5,89.48
ord_001117,1,credit_card,2,233.28
ord_001409,1,credit_card,3,49.24
ord_000766,1,credit_card,1,256.68
ord_001104,1,credit_card,6,294.98
ord_001322,1,credit_card,6,192.34
ord_000031,1,credit_card,3,52.84
ord_000378,1,credit_card,3,64.45
ord_000330,1,credit_card,7,45.57
ord_001950,1,credit_card,1,48.48
ord_001323,1,debit_card,1,25.2
ord_000282,1,boleto,1,292.6
ord_001036,1,credit_card,5,125.26
ord_000639,1,boleto,1,75.6
ord_000872,1,credit_card,3,67.87
ord_000699,1,boleto,1,130.15
ord_000069,1,credit_card,5,75.38
ord_000841,1,credit_card,4,299.02
ord_001547,1,credit_card,6,53.17
ord_001839,1,credit_card,9,319.55
ord_000023,1,credit_card,2,172.73
ord_000337,1,credit_card,10,459.32
ord_000427,1,credit_card,8,22.13
ord_000845,1,credit_card,2,28.53
ord_000209,1,credit_card,4,117.29
ord_000215,1,credit_card,9,360.86
ord_000635,1,boleto,1,203.72
ord_000423,1,credit_card,4,156.25
ord_000073,1,boleto,1,24.5
ord_001746,1,boleto,1,81.21
ord_000823,1,credit_card,7,79.42
ord_000786,1,credit_card,5,129.35
ord_001630,1,credit_card,2,61.74
ord_000938,1,voucher,1,63.52
ord_001772,1,credit_card,8,155.78
ord_001690,1,credit_card,10,424.96
ord_001298,1,credit_card,10,171.11
ord_001749,1,voucher,1,174.42
ord_001664,1,credit_card,2,619.78
ord_001257,1,boleto,1,43.33
ord_001065,1,credit_card,3,24.82
ord_001962,1,credit_card,10,211.59
ord_000289,1,credit_card,7,100.87
ord_000555,1,debit_card,1,98.41
ord_001294,1,credit_card,5,55.74
ord_000439,1,voucher,1,118.98
ord_001338,1,boleto,1,101.72
ord_001534,1,boleto,1,79.33
ord_001418,1,credit_card,10,101.86
ord_000028,1,credit_card,3,87.79
ord_000270,1,credit_card,2,413.64
ord_001491,1,voucher,1,569.46
ord_001946,1,voucher,1,276.47
ord_000074,1,credit_card,6,670.64
ord_001681,1,credit_card,10,63.24
ord_000674,1,credit_card,1,279.14
ord_000246,1,debit_card,1,93.07
ord_001806,1,credit_card,8,211.93
ord_000410,1,boleto,1,51.48
ord_000498,1,credit_card,5,253.95
ord_001442,1,credit_card,5,32.2
ord_001012,1,boleto,1,64.17
ord_000211,1,credit_card,2,261.6
ord_000792,1,credit_card,7,212.5
ord_001247,1,voucher,1,117.39
ord_000360,1,credit_card,5,176.4
ord_000582,1,boleto,1,48.74
ord_001044,1,boleto,1,174.27
ord_000423,1,credit_card,8,21.12
ord_000121,1,credit_card,5,270.75
ord_000173,1,credit_card,9,121.68
ord_000034,1,credit_card,5,423.23
ord_000918,1,credit_card,3,111.06
ord_000071,1,boleto,1,99.46
ord_000545,1,credit_card,2,103.71
ord_000774,1,credit_card,5,82.42
ord_000784,1,credit_card,10,45.53
ord_000968,1,credit_card,10,278.38
ord_001645,1,credit_card,5,88.99
ord_000535,1,boleto,1,125.44
ord_001682,1,credit_card,6,22.81
ord_000014,1,credit_card,2,28.7
ord_001330,1,credit_card,5,147.3
ord_001853,1,credit_card,1,315.94
ord_001572,1,credit_card,3,115.2
ord_000271,1,boleto,1,45.24
ord_001797,1,credit_card,3,37.28
ord_001077,1,credit_card,3,342.07
ord_001518,1,credit_card,3,189.32
ord_001584,1,credit_card,8,494.2
ord_000463,1,credit_card,1,32.03
ord_000523,1,credit_card,6,346.07
ord_000770,1,credit_card,6,281.58
ord_000855,1,credit_card,1,333.13
ord_000792,1,credit_card,1,20.81
ord_001746,1,credit_card,3,209.62
ord_001348,1,credit_card,8,131.46
ord_001871,1,boleto,1,139.19
ord_001548,1,credit_card,6,108.67
ord_000443,1,boleto,1,210.04
ord_000251,1,credit_card,4,1243.03
ord_001859,1,credit_card,5,193.56
ord_000160,1,credit_card,10,178.67
ord_000036,1,boleto,1,168.76
ord_001685,1,credit_card,3,186.34
