trip_id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance_miles,pickup_location_id,dropoff_location_id,rate_code_id,payment_type,fare_amount,extra_surcharge,mta_tax,tip_amount,tolls_amount,congestion_surcharge,total_amount,trip_duration_minutes,pickup_hour,pickup_day_of_week,pickup_date,pickup_year_month
trip_0000046,2,2024-01-22 02:59:00,2024-01-22 03:08:10,3,12.26,18,1,1,Credit Card,41.3,1.0,0.5,0.0,0.0,2.75,45.55,9.2,2,Monday,2024-01-22,2024-01
trip_0000047,1,2024-01-16 19:14:00,2024-01-16 19:27:04,1,5.25,186,140,1,Credit Card,23.97,2.5,0.5,4.79,0.0,2.75,34.51,13.1,19,Tuesday,2024-01-16,2024-01
trip_0000048,2,2024-01-29 17:39:00,2024-01-29 17:52:04,2,4.09,193,18,1,Cash,20.78,2.5,0.5,3.12,0.0,2.75,29.65,13.1,17,Monday,2024-01-29,2024-01
trip_0000049,1,2024-04-30 08:13:00,2024-04-30 08:28:14,1,4.92,80,141,1,Credit Card,24.15,1.0,0.5,3.62,0.0,2.75,32.02,15.2,8,Tuesday,2024-04-30,2024-04
trip_0000050,1,2024-03-09 15:53:00,2024-03-09 16:12:44,1,7.47,140,80,1,Credit Card,33.41,1.0,0.5,6.68,0.0,2.75,44.34,19.7,15,Saturday,2024-03-09,2024-03
trip_0000051,2,2024-02-10 23:28:00,2024-02-10 23:39:26,1,2.93,230,90,1,Credit Card,16.78,1.0,0.5,2.52,0.0,2.75,23.55,11.4,23,Saturday,2024-02-10,2024-02
trip_0000052,1,2024-04-04 01:48:00,2024-04-04 02:14:49,1,7.96,249,256,1,Credit Card,38.3,1.0,0.5,5.74,0.0,2.75,48.29,26.8,1,Thursday,2024-04-04,2024-04
trip_0000053,2,2024-05-07 22:29:00,2024-05-07 23:00:24,2,13.51,132,236,2,Credit Card,55.85,1.0,0.5,11.17,6.55,2.75,77.82,31.4,22,Tuesday,2024-05-07,2024-05
trip_0000054,1,2024-06-15 15:33:00,2024-06-15 15:51:35,1,7.63,234,68,1,Credit Card,33.28,1.0,0.5,4.99,0.0,2.75,42.52,18.6,15,Saturday,2024-06-15,2024-06
trip_0000055,1,2024-06-04 17:42:00,2024-06-04 17:58:29,1,6.13,239,140,1,Credit Card,28.11,2.5,0.5,4.22,0.0,2.75,38.08,16.5,17,Tuesday,2024-06-04,2024-06
trip_0000056,2,2024-02-21 21:26:00,2024-02-21 21:43:08,2,5.26,236,79,1,Credit Card,26.04,1.0,0.5,3.91,0.0,2.75,34.2,17.1,21,Wednesday,2024-02-21,2024-02
trip_0000057,2,2024-01-10 15:55:00,2024-01-10 16:19:12,1,10.16,43,163,1,Credit Card,43.04,1.0,0.5,6.46,0.0,2.75,53.75,24.2,15,Wednesday,2024-01-10,2024-01
trip_0000058,2,2024-04-10 10:22:00,2024-04-10 10:30:33,1,2.0,234,186,1,Credit Card,12.78,1.0,0.5,0.0,0.0,2.75,17.03,8.6,10,Wednesday,2024-04-10,2024-04
trip_0000059,1,2024-02-01 23:24:00,2024-02-01 23:32:04,1,20.58,138,68,2,Cash,63.63,1.0,0.5,12.73,6.55,2.75,87.16,8.1,23,Thursday,2024-02-01,2024-02
trip_0000060,2,2024-03-18 07:26:00,2024-03-18 07:38:14,1,3.62,50,100,1,Credit Card,19.07,1.0,0.5,3.81,0.0,2.75,27.13,12.2,7,Monday,2024-03-18,2024-03
trip_0000061,2,2024-01-15 02:51:00,2024-01-15 02:57:54,1,1.31,170,61,1,Credit Card,10.06,1.0,0.5,2.01,0.0,2.75,16.32,6.9,2,Monday,2024-01-15,2024-01
trip_0000062,1,2024-06-08 06:27:00,2024-06-08 06:44:21,2,3.42,255,43,1,Credit Card,21.09,1.0,0.5,3.16,0.0,2.75,28.5,17.4,6,Saturday,2024-06-08,2024-06
trip_0000063,2,2024-06-25 21:11:00,2024-06-25 21:21:30,3,2.06,141,249,1,Cash,13.92,1.0,0.5,0.0,0.0,2.75,18.17,10.5,21,Tuesday,2024-06-25,2024-06
trip_0000064,1,2024-01-20 06:21:00,2024-01-20 06:34:30,1,4.83,140,141,1,Cash,23.04,1.0,0.5,4.61,0.0,2.75,31.9,13.5,6,Saturday,2024-01-20,2024-01
trip_0000065,2,2024-05-13 02:46:00,2024-05-13 02:55:10,2,3.7,80,142,1,Credit Card,17.76,1.0,0.5,3.55,0.0,2.75,25.56,9.2,2,Monday,2024-05-13,2024-05
trip_0000066,2,2024-01-23 20:35:00,2024-01-23 20:51:47,1,5.25,193,68,1,Credit Card,25.83,1.0,0.5,3.87,0.0,2.75,33.95,16.8,20,Tuesday,2024-01-23,2024-01
trip_0000067,2,2024-03-02 16:00:00,2024-03-02 16:25:50,5,8.52,255,145,1,Credit Card,39.35,2.5,0.5,5.9,0.0,2.75,51.0,25.8,16,Saturday,2024-03-02,2024-03
trip_0000068,1,2024-02-16 10:04:00,2024-02-16 10:35:42,1,6.58,68,68,1,Credit Card,36.95,1.0,0.5,5.54,0.0,2.75,46.74,31.7,10,Friday,2024-02-16,2024-02
trip_0000069,2,2024-02-12 10:52:00,2024-02-12 11:05:05,2,4.72,186,234,1,Cash,22.53,1.0,0.5,4.51,0.0,2.75,31.29,13.1,10,Monday,2024-02-12,2024-02
trip_0000070,1,2024-01-07 10:25:00,2024-01-07 10:44:25,1,7.2,230,162,1,Credit Card,32.52,1.0,0.5,6.5,0.0,2.75,43.27,19.4,10,Sunday,2024-01-07,2024-01
trip_0000071,1,2024-05-01 16:23:00,2024-05-01 16:31:42,1,2.36,161,237,1,Credit Card,13.85,2.5,0.5,2.77,0.0,2.75,22.37,8.7,16,Wednesday,2024-05-01,2024-05
trip_0000072,1,2024-01-27 18:36:00,2024-01-27 18:51:12,2,5.0,90,230,1,Credit Card,24.36,2.5,0.5,4.87,0.0,2.75,34.98,15.2,18,Saturday,2024-01-27,2024-01
trip_0000073,2,2024-02-10 01:46:00,2024-02-10 02:04:27,1,4.51,90,107,1,Cash,24.63,1.0,0.5,0.0,0.0,2.75,28.88,18.5,1,Saturday,2024-02-10,2024-02
trip_0000074,2,2024-06-11 01:16:00,2024-06-11 01:28:49,1,2.67,100,239,1,Dispute,16.76,1.0,0.5,2.51,0.0,2.75,23.52,12.8,1,Tuesday,2024-06-11,2024-06
trip_0000075,1,2024-04-12 20:26:00,2024-04-12 20:51:35,1,6.77,237,50,1,Credit Card,34.42,1.0,0.5,6.88,0.0,2.75,45.55,25.6,20,Friday,2024-04-12,2024-04
trip_0000076,2,2024-05-04 16:31:00,2024-05-04 16:43:11,1,2.86,43,249,1,Credit Card,16.96,2.5,0.5,0.0,0.0,2.75,22.71,12.2,16,Saturday,2024-05-04,2024-05
trip_0000077,2,2024-03-09 13:44:00,2024-03-09 13:56:41,1,3.81,107,142,1,Cash,19.83,1.0,0.5,3.97,0.0,2.75,28.05,12.7,13,Saturday,2024-03-09,2024-03
trip_0000078,1,2024-02-23 05:57:00,2024-02-23 06:13:50,1,3.46,43,249,1,Credit Card,20.93,1.0,0.5,4.19,0.0,2.75,29.37,16.8,5,Friday,2024-02-23,2024-02
trip_0000079,1,2024-01-16 17:48:00,2024-01-16 18:05:52,1,5.26,79,50,1,Credit Card,26.4,2.5,0.5,5.28,0.0,2.75,37.43,17.9,17,Tuesday,2024-01-16,2024-01
trip_0000080,1,2024-03-05 03:04:00,2024-03-05 03:25:25,6,9.59,236,33,1,Credit Card,40.08,1.0,0.5,6.01,0.0,2.75,50.34,21.4,3,Tuesday,2024-03-05,2024-03
trip_0000081,1,2024-06-03 02:18:00,2024-06-03 02:41:32,1,4.61,193,140,1,Credit Card,27.45,1.0,0.5,5.49,0.0,2.75,37.19,23.5,2,Monday,2024-06-03,2024-06
trip_0000082,2,2024-01-10 17:53:00,2024-01-10 18:09:25,1,6.18,162,50,1,Credit Card,28.21,2.5,0.5,4.23,0.0,2.75,38.19,16.4,17,Wednesday,2024-01-10,2024-01
trip_0000083,1,2024-01-15 00:57:00,2024-01-15 01:11:15,5,2.76,145,50,1,Credit Card,17.72,1.0,0.5,2.66,0.0,2.75,24.63,14.3,0,Monday,2024-01-15,2024-01
trip_0000084,1,2024-05-03 05:59:00,2024-05-03 06:06:08,1,2.41,68,230,1,Credit Card,13.2,1.0,0.5,2.64,0.0,2.75,20.09,7.1,5,Friday,2024-05-03,2024-05
trip_0000085,2,2024-03-16 22:44:00,2024-03-16 23:01:24,2,4.66,170,79,1,Credit Card,24.52,1.0,0.5,3.68,0.0,2.75,32.45,17.4,22,Saturday,2024-03-16,2024-03
trip_0000086,1,2024-06-01 13:44:00,2024-06-01 14:11:25,1,8.79,143,162,1,Credit Card,40.88,1.0,0.5,8.18,0.0,2.75,53.31,27.4,13,Saturday,2024-06-01,2024-06
trip_0000087,1,2024-05-03 19:27:00,2024-05-03 19:58:16,1,11.91,68,249,1,Cash,51.39,2.5,0.5,7.71,0.0,2.75,64.85,31.3,19,Friday,2024-05-03,2024-05
trip_0000088,1,2024-03-23 20:10:00,2024-03-23 20:26:03,1,5.1,43,48,1,Cash,25.06,1.0,0.5,0.0,0.0,2.75,29.31,16.1,20,Saturday,2024-03-23,2024-03
trip_0000089,1,2024-03-11 05:38:00,2024-03-11 06:00:09,3,7.09,256,107,1,Credit Card,33.58,1.0,0.5,0.0,0.0,2.75,37.83,22.2,5,Monday,2024-03-11,2024-03
trip_0000090,2,2024-01-27 11:55:00,2024-01-27 12:10:16,2,4.44,234,163,1,Credit Card,22.85,1.0,0.5,4.57,0.0,2.75,31.67,15.3,11,Saturday,2024-01-27,2024-01
trip_0000091,1,2024-02-19 20:21:00,2024-02-19 20:48:09,1,10.86,231,236,1,Credit Card,46.44,1.0,0.5,6.97,0.0,2.75,57.66,27.2,20,Monday,2024-02-19,2024-02
trip_0000092,2,2024-03-30 07:25:00,2024-03-30 07:49:59,3,8.14,231,234,1,Cash,37.88,1.0,0.5,7.58,0.0,2.75,49.71,25.0,7,Saturday,2024-03-30,2024-03
trip_0000093,1,2024-01-25 04:12:00,2024-01-25 04:20:53,1,3.47,164,141,1,Credit Card,16.99,1.0,0.5,2.55,0.0,2.75,23.79,8.9,4,Thursday,2024-01-25,2024-01
trip_0000094,1,2024-04-19 15:46:00,2024-04-19 15:53:48,4,3.12,236,61,1,Credit Card,15.48,1.0,0.5,0.0,0.0,2.75,19.73,7.8,15,Friday,2024-04-19,2024-04
trip_0000095,2,2024-03-11 13:32:00,2024-03-11 13:42:30,2,3.71,80,164,1,Cash,18.45,1.0,0.5,3.69,0.0,2.75,26.39,10.5,13,Monday,2024-03-11,2024-03
trip_0000096,2,2024-02-16 15:13:00,2024-02-16 15:34:39,1,8.71,18,239,1,Credit Card,37.79,1.0,0.5,9.45,0.0,2.75,51.49,21.7,15,Friday,2024-02-16,2024-02
trip_0000097,2,2024-06-03 22:02:00,2024-06-03 22:11:46,2,2.35,107,79,1,Credit Card,14.35,1.0,0.5,2.87,0.0,2.75,21.47,9.8,22,Monday,2024-06-03,2024-06
trip_0000098,2,2024-03-13 05:54:00,2024-03-13 06:18:13,1,4.99,230,50,1,Credit Card,28.84,1.0,0.5,5.77,0.0,2.75,38.86,24.2,5,Wednesday,2024-03-13,2024-03
trip_0000099,1,2024-04-03 13:36:00,2024-04-03 13:48:52,1,3.71,249,186,1,Cash,19.64,1.0,0.5,3.93,0.0,2.75,27.82,12.9,13,Wednesday,2024-04-03,2024-04
trip_0000100,1,2024-02-15 06:01:00,2024-02-15 06:10:48,1,2.73,141,33,1,Credit Card,15.41,1.0,0.5,2.31,0.0,2.75,21.97,9.8,6,Thursday,2024-02-15,2024-02
trip_0000101,1,2024-04-21 07:49:00,2024-04-21 07:59:53,2,4.36,90,7,1,Credit Card,20.43,1.0,0.5,4.09,0.0,2.75,28.77,10.9,7,Sunday,2024-04-21,2024-04
trip_0000102,1,2024-05-21 04:13:00,2024-05-21 04:28:49,1,3.14,234,61,1,Credit Card,19.55,1.0,0.5,2.93,0.0,2.75,26.73,15.8,4,Tuesday,2024-05-21,2024-05
trip_0000103,2,2024-03-17 20:53:00,2024-03-17 20:59:08,1,2.19,238,249,1,Credit Card,12.09,1.0,0.5,2.42,0.0,2.75,18.76,6.1,20,Sunday,2024-03-17,2024-03
trip_0000104,1,2024-04-08 05:31:00,2024-04-08 05:47:24,1,5.8,170,143,1,Credit Card,27.15,1.0,0.5,4.07,0.0,2.75,35.47,16.4,5,Monday,2024-04-08,2024-04
trip_0000105,1,2024-01-05 05:46:00,2024-01-05 05:52:01,2,1.63,143,231,1,Credit Card,10.5,1.0,0.5,2.1,0.0,2.75,16.85,6.0,5,Friday,2024-01-05,2024-01
trip_0000106,2,2024-05-11 20:23:00,2024-05-11 20:34:48,1,11.63,68,1,1,Credit Card,40.89,1.0,0.5,6.13,0.0,2.75,51.27,11.8,20,Saturday,2024-05-11,2024-05
trip_0000107,1,2024-01-12 07:13:00,2024-01-12 07:26:48,1,2.55,161,48,1,Cash,16.91,1.0,0.5,0.0,0.0,2.75,21.16,13.8,7,Friday,2024-01-12,2024-01
trip_0000108,2,2024-05-05 10:42:00,2024-05-05 10:59:31,1,6.52,236,141,1,Credit Card,29.69,1.0,0.5,4.45,0.0,2.75,38.39,17.5,10,Sunday,2024-05-05,2024-05
trip_0000109,2,2024-04-07 18:00:00,2024-04-07 18:09:13,1,17.19,143,132,2,Credit Card,54.88,2.5,0.5,8.23,6.55,2.75,75.41,9.2,18,Sunday,2024-04-07,2024-04
trip_0000110,2,2024-01-18 09:23:00,2024-01-18 09:34:52,2,2.18,237,90,1,Credit Card,14.93,1.0,0.5,2.24,0.0,2.75,21.42,11.9,9,Thursday,2024-01-18,2024-01
trip_0000111,1,2024-03-05 21:05:00,2024-03-05 21:10:02,1,1.04,230,90,1,Credit Card,8.38,1.0,0.5,0.0,0.0,2.75,12.63,5.0,21,Tuesday,2024-03-05,2024-03
trip_0000112,2,2024-03-12 06:02:00,2024-03-12 06:14:34,1,20.39,1,79,1,Credit Card,65.36,1.0,0.5,13.07,0.0,2.75,82.68,12.6,6,Tuesday,2024-03-12,2024-03
trip_0000113,2,2024-01-16 06:44:00,2024-01-16 06:54:49,2,3.01,256,80,1,Dispute,16.69,1.0,0.5,4.17,0.0,2.75,25.11,10.8,6,Tuesday,2024-01-16,2024-01
trip_0000114,1,2024-01-17 14:17:00,2024-01-17 14:41:18,1,6.36,141,164,1,Credit Card,32.65,1.0,0.5,8.16,0.0,2.75,45.06,24.3,14,Wednesday,2024-01-17,2024-01
trip_0000115,1,2024-05-11 15:17:00,2024-05-11 15:31:42,5,2.69,249,193,1,Credit Card,17.75,1.0,0.5,3.55,0.0,2.75,25.55,14.7,15,Saturday,2024-05-11,2024-05
trip_0000116,2,2024-04-09 01:57:00,2024-04-09 02:12:37,2,16.7,7,1,1,Credit Card,56.74,1.0,0.5,11.35,0.0,2.75,72.34,15.6,1,Tuesday,2024-04-09,2024-04
trip_0000117,2,2024-04-04 14:30:00,2024-04-04 14:53:06,2,9.81,237,236,1,Credit Card,41.53,1.0,0.5,8.31,0.0,2.75,54.09,23.1,14,Thursday,2024-04-04,2024-04
trip_0000118,1,2024-03-04 02:36:00,2024-03-04 02:49:52,1,11.73,18,132,2,Credit Card,42.19,1.0,0.5,6.33,6.55,2.75,59.32,13.9,2,Monday,2024-03-04,2024-03
trip_0000119,1,2024-03-17 18:21:00,2024-03-17 18:35:56,2,21.56,138,161,2,Cash,69.76,2.5,0.5,10.46,6.55,2.75,92.52,14.9,18,Sunday,2024-03-17,2024-03
trip_0000120,1,2024-03-24 06:30:00,2024-03-24 06:44:10,1,3.41,68,107,1,Credit Card,19.46,1.0,0.5,3.89,0.0,2.75,27.6,14.2,6,Sunday,2024-03-24,2024-03
trip_0000121,2,2024-01-04 06:21:00,2024-01-04 06:37:25,1,3.19,48,61,1,Credit Card,19.99,1.0,0.5,4.0,0.0,2.75,28.24,16.4,6,Thursday,2024-01-04,2024-01
trip_0000122,2,2024-06-21 00:18:00,2024-06-21 00:35:03,4,7.52,162,61,1,Credit Card,32.21,1.0,0.5,6.44,0.0,2.75,42.9,17.1,0,Friday,2024-06-21,2024-06
trip_0000123,1,2024-04-04 11:51:00,2024-04-04 12:19:03,2,8.7,79,163,1,Credit Card,40.95,1.0,0.5,6.14,0.0,2.75,51.34,28.1,11,Thursday,2024-04-04,2024-04
trip_0000124,1,2024-02-11 23:03:00,2024-02-11 23:23:29,1,4.56,79,100,1,Credit Card,25.79,1.0,0.5,5.16,0.0,2.75,35.2,20.5,23,Sunday,2024-02-11,2024-02
trip_0000125,1,2024-03-09 15:45:00,2024-03-09 16:01:40,1,7.09,18,170,1,Credit Card,30.83,1.0,0.5,0.0,0.0,2.75,35.08,16.7,15,Saturday,2024-03-09,2024-03
trip_0000126,1,2024-06-01 13:19:00,2024-06-01 13:34:29,4,3.86,170,68,1,Credit Card,21.36,1.0,0.5,5.34,0.0,2.75,30.95,15.5,13,Saturday,2024-06-01,2024-06
trip_0000127,2,2024-06-19 03:54:00,2024-06-19 04:02:52,1,2.87,161,170,1,Credit Card,15.33,1.0,0.5,3.07,0.0,2.75,22.65,8.9,3,Wednesday,2024-06-19,2024-06
trip_0000128,1,2024-01-30 13:54:00,2024-01-30 14:06:39,1,3.87,255,193,1,Credit Card,19.97,1.0,0.5,3.99,0.0,2.75,28.21,12.7,13,Tuesday,2024-01-30,2024-01
trip_0000129,2,2024-01-13 04:53:00,2024-01-13 05:17:33,1,10.27,164,80,1,Credit Card,43.53,1.0,0.5,8.71,0.0,2.75,56.49,24.6,4,Saturday,2024-01-13,2024-01
trip_0000130,2,2024-02-17 20:05:00,2024-02-17 20:18:06,1,2.96,236,255,1,Credit Card,17.7,1.0,0.5,3.54,0.0,2.75,25.49,13.1,20,Saturday,2024-02-17,2024-02
trip_0000131,2,2024-06-07 01:21:00,2024-06-07 01:39:11,6,20.19,163,138,2,Credit Card,67.62,1.0,0.5,13.52,6.55,2.75,91.94,18.2,1,Friday,2024-06-07,2024-06
trip_0000132,2,2024-06-09 17:18:00,2024-06-09 17:30:06,1,4.67,100,142,1,Credit Card,21.89,2.5,0.5,4.38,0.0,2.75,32.02,12.1,17,Sunday,2024-06-09,2024-06
