fact_id,ticker,fiscal_period,form_type,revenue_mil_usd,net_income_mil_usd,free_cash_flow_mil_usd,rnd_expense_mil_usd,gross_margin_pct,operating_margin_pct,eps_diluted_usd,filing_date
fact_JPM_2023-Q1,JPM,2023-Q1,10-Q,44454.1,13126.0,14226.8,6771.0,53.5,25.9,1.1,2023-15-15
fact_JPM_2023-Q2,JPM,2023-Q2,10-Q,28388.0,6323.5,6394.8,5021.3,46.2,35.6,1.52,2023-25-15
fact_JPM_2023-Q3,JPM,2023-Q3,10-Q,46711.9,6952.9,7624.1,4490.9,60.0,32.3,1.99,2023-35-15
fact_JPM_2023-Q4,JPM,2023-Q4,10-K,63708.3,8471.6,10013.4,8337.6,54.6,29.3,2.44,2023-45-15
fact_JPM_2024-Q1,JPM,2024-Q1,10-Q,92267.3,23266.5,25765.2,15083.0,50.9,32.0,2.86,2024-15-15
fact_JPM_2024-Q2,JPM,2024-Q2,10-Q,20078.4,5890.2,6839.2,3537.6,68.2,26.2,2.53,2024-25-15
fact_UNH_2023-Q1,UNH,2023-Q1,10-Q,53947.6,13428.9,16618.9,5176.0,44.2,35.2,1.21,2023-15-15
fact_UNH_2023-Q2,UNH,2023-Q2,10-Q,51302.0,7028.8,8368.1,9366.8,54.0,24.5,2.2,2023-25-15
fact_UNH_2023-Q3,UNH,2023-Q3,10-Q,35638.0,8181.3,8974.7,4835.3,42.1,32.4,3.12,2023-35-15
fact_UNH_2023-Q4,UNH,2023-Q4,10-K,19320.7,5604.1,4913.6,3861.3,62.5,26.5,3.04,2023-45-15
fact_UNH_2024-Q1,UNH,2024-Q1,10-Q,64917.4,8371.5,8874.2,14021.6,63.1,37.3,3.06,2024-15-15
fact_UNH_2024-Q2,UNH,2024-Q2,10-Q,33625.4,10041.6,10866.5,6375.0,69.7,26.3,1.78,2024-25-15
fact_XOM_2023-Q1,XOM,2023-Q1,10-Q,33593.8,10709.1,9528.7,5738.0,43.9,27.5,1.36,2023-15-15
fact_XOM_2023-Q2,XOM,2023-Q2,10-Q,89229.2,15434.6,15536.4,17912.0,46.6,23.5,3.32,2023-25-15
fact_XOM_2023-Q3,XOM,2023-Q3,10-Q,57867.4,8581.9,10365.2,6036.3,66.9,25.3,2.34,2023-35-15
fact_XOM_2023-Q4,XOM,2023-Q4,10-K,43171.1,12364.7,15327.2,8717.9,56.9,33.1,2.62,2023-45-15
fact_XOM_2024-Q1,XOM,2024-Q1,10-Q,20242.9,3722.7,3542.5,4157.2,56.5,25.3,0.9,2024-15-15
fact_XOM_2024-Q2,XOM,2024-Q2,10-Q,75406.5,10216.9,11599.0,11659.8,60.1,36.4,1.15,2024-25-15
fact_JNJ_2023-Q1,JNJ,2023-Q1,10-Q,56677.0,17508.1,15301.3,8991.7,58.2,33.5,2.08,2023-15-15
fact_JNJ_2023-Q2,JNJ,2023-Q2,10-Q,54473.6,15191.9,15043.1,5526.5,47.0,37.3,2.51,2023-25-15
fact_JNJ_2023-Q3,JNJ,2023-Q3,10-Q,41597.8,10311.3,11260.7,6277.5,58.8,32.7,3.25,2023-35-15
fact_JNJ_2023-Q4,JNJ,2023-Q4,10-K,89891.0,21810.9,19152.3,8372.2,61.3,29.6,1.91,2023-45-15
fact_JNJ_2024-Q1,JNJ,2024-Q1,10-Q,25162.6,3253.3,2954.6,3223.4,59.3,21.2,3.31,2024-15-15
fact_JNJ_2024-Q2,JNJ,2024-Q2,10-Q,39614.4,5611.2,4867.4,8285.1,47.4,21.0,3.12,2024-25-15
fact_WMT_2023-Q1,WMT,2023-Q1,10-Q,56608.6,11959.6,13610.8,4696.8,43.1,30.2,3.12,2023-15-15
fact_WMT_2023-Q2,WMT,2023-Q2,10-Q,55916.4,8979.1,10336.6,7807.8,66.8,34.4,1.64,2023-25-15
fact_WMT_2023-Q3,WMT,2023-Q3,10-Q,34131.1,8418.0,7419.9,5116.9,52.9,36.9,2.6,2023-35-15
fact_WMT_2023-Q4,WMT,2023-Q4,10-K,23638.7,4697.8,5380.3,1900.6,44.4,30.4,2.33,2023-45-15
fact_WMT_2024-Q1,WMT,2024-Q1,10-Q,17938.7,2207.7,2379.4,3249.4,47.0,21.7,2.2,2024-15-15
fact_WMT_2024-Q2,WMT,2024-Q2,10-Q,78651.2,20304.6,23312.9,12350.3,63.0,31.2,2.39,2024-25-15
