record_id,fiscal_year,fiscal_quarter,period_label,business_unit_code,business_unit,department_code,department,revenue_usd,cogs_usd,gross_profit_usd,gross_margin_pct,rd_expense_usd,sales_marketing_expense_usd,ga_expense_usd,total_opex_usd,operating_income_usd,ebitda_usd,ebitda_margin_pct,net_income_usd,capex_usd,headcount,budget_allocated_usd,budget_variance_pct,revenue_growth_yoy_pct
FIN-2023-00023,2023,Q1,2023-Q1,CZTI,Cybersecurity & Zero-Trust Infrastructure,LEGAL,"Legal, Risk & Compliance",1716189.06,422143.38,1294045.68,75.4,2146205.73,1587950.39,1095726.15,4829882.27,-3535836.59,-2992538.03,-174.37,-2793310.91,1207330.13,151,4708934.72,2.57,23.6
FIN-2023-00024,2023,Q1,2023-Q1,CZTI,Cybersecurity & Zero-Trust Infrastructure,PROD,Product Strategy & User Experience,740491.78,173192.71,567299.07,76.61,2097910.53,1740064.83,694334.89,4532310.25,-3965011.18,-3294482.83,-444.9,-3132358.83,1490063.0,302,4892274.12,-7.36,32.08
FIN-2023-00025,2023,Q1,2023-Q1,GHSS,Global Hardware & Semiconductor Systems,ENG,Core Engineering & Software R&D,4544820.14,1350405.78,3194414.36,70.29,1592946.2,2478057.67,679899.04,4750902.91,-1556488.55,-1046077.97,-23.02,-1229625.95,1134245.74,323,5319409.51,-10.69,12.26
FIN-2023-00026,2023,Q1,2023-Q1,GHSS,Global Hardware & Semiconductor Systems,SALES,Global Enterprise Sales & Field Ops,15243212.32,3037800.1,12205412.22,80.07,1916976.08,1401847.17,353091.07,3671914.32,8533497.9,9308673.75,61.07,6741463.34,1722612.99,279,3557245.8,3.22,30.97
FIN-2023-00027,2023,Q1,2023-Q1,GHSS,Global Hardware & Semiconductor Systems,MKTG,Global Growth & Brand Marketing,17755437.0,6183472.82,11571964.18,65.17,899401.51,1154930.92,777236.65,2831569.08,8740395.1,9349736.61,52.66,6904912.13,1354092.24,154,2729136.67,3.75,16.6
FIN-2023-00028,2023,Q1,2023-Q1,GHSS,Global Hardware & Semiconductor Systems,CSM,Customer Success & Technical Account Mgmt,11695277.82,3390854.09,8304423.73,71.01,434088.14,1046105.65,484989.61,1965183.4,6339240.33,6660711.11,56.95,5007999.86,714379.51,256,2146790.01,-8.46,12.78
FIN-2023-00029,2023,Q1,2023-Q1,GHSS,Global Hardware & Semiconductor Systems,OPS,Cloud Infrastructure & Network Operations,12534795.46,2834822.43,9699973.03,77.38,1982961.93,1280991.16,963512.17,4227465.26,5472507.77,6266073.91,49.99,4323281.14,1763480.32,270,4652866.5,-9.14,21.84
FIN-2023-00030,2023,Q1,2023-Q1,GHSS,Global Hardware & Semiconductor Systems,GA,Corporate General & Administrative,5847948.01,2034621.02,3813326.99,65.21,803781.61,1393648.85,307386.06,2504816.52,1308510.47,1475176.31,25.23,1033723.27,370368.54,181,2801885.3,-10.6,34.07
FIN-2023-00031,2023,Q1,2023-Q1,GHSS,Global Hardware & Semiconductor Systems,LEGAL,"Legal, Risk & Compliance",3030013.64,785320.25,2244693.39,74.08,1952190.98,450747.73,1029367.84,3432306.55,-1187613.16,-1049347.69,-34.63,-938214.4,307256.61,130,3368326.97,1.9,24.52
FIN-2023-00032,2023,Q1,2023-Q1,GHSS,Global Hardware & Semiconductor Systems,PROD,Product Strategy & User Experience,1727822.72,375347.86,1352474.86,78.28,3137587.08,1401320.41,929790.19,5468697.68,-4116222.82,-3905382.55,-226.03,-3251816.03,468533.94,183,5562138.8,-1.68,14.66
FIN-2023-00033,2023,Q1,2023-Q1,DCBM,Digital Commerce & B2B Marketplace,ENG,Core Engineering & Software R&D,4352883.31,894531.79,3458351.52,79.45,1327089.2,1856168.09,451878.43,3635135.72,-176784.2,362516.25,8.33,-139659.52,1198445.44,278,3398080.24,6.98,31.07
FIN-2023-00034,2023,Q1,2023-Q1,DCBM,Digital Commerce & B2B Marketplace,SALES,Global Enterprise Sales & Field Ops,6498880.25,1581245.5,4917634.75,75.67,1410926.73,1882415.85,384586.46,3677929.04,1239705.71,1691478.66,26.03,979367.51,1003939.88,204,3785119.15,-2.83,9.32
FIN-2023-00035,2023,Q1,2023-Q1,DCBM,Digital Commerce & B2B Marketplace,MKTG,Global Growth & Brand Marketing,3250517.66,838434.46,2412083.2,74.21,1276583.8,571193.69,336916.88,2184694.37,227388.83,626253.28,19.27,179637.18,886365.45,65,2240262.32,-2.48,20.59
FIN-2023-00036,2023,Q1,2023-Q1,DCBM,Digital Commerce & B2B Marketplace,CSM,Customer Success & Technical Account Mgmt,3815371.16,1285537.16,2529834.0,66.31,2230155.85,353185.18,358309.16,2941650.19,-411816.19,321435.28,8.42,-325334.79,1629447.72,136,3094430.56,-4.94,32.08
FIN-2023-00037,2023,Q1,2023-Q1,DCBM,Digital Commerce & B2B Marketplace,OPS,Cloud Infrastructure & Network Operations,9859706.16,3402496.81,6457209.35,65.49,1698630.02,680112.86,562299.56,2941042.44,3516166.91,3659751.46,37.12,2777771.86,319076.78,294,3175046.28,-7.37,23.64
FIN-2023-00038,2023,Q1,2023-Q1,DCBM,Digital Commerce & B2B Marketplace,GA,Corporate General & Administrative,4980358.74,1734572.75,3245785.99,65.17,2908227.6,1233143.5,945591.29,5086962.39,-1841176.4,-1767576.05,-35.49,-1454529.36,163556.34,314,5591778.93,-9.03,25.21
FIN-2023-00039,2023,Q1,2023-Q1,DCBM,Digital Commerce & B2B Marketplace,LEGAL,"Legal, Risk & Compliance",2109010.23,511907.09,1597103.14,75.73,1404634.76,1497605.91,996474.51,3898715.18,-2301612.04,-2202507.42,-104.43,-1818273.51,220232.48,347,4077321.43,-4.38,21.3
FIN-2023-00040,2023,Q1,2023-Q1,DCBM,Digital Commerce & B2B Marketplace,PROD,Product Strategy & User Experience,2622001.13,853544.51,1768456.62,67.45,486959.41,1522352.49,272534.71,2281846.61,-513389.99,-75095.18,-2.86,-405578.09,973988.46,240,2555207.39,-10.7,11.62
FIN-2023-00041,2023,Q1,2023-Q1,SFTP,Strategic FinTech & Payments Hub,ENG,Core Engineering & Software R&D,3958890.51,877705.86,3081184.65,77.83,405744.09,1635462.49,593469.73,2634676.31,446508.34,903736.56,22.83,352741.59,1016062.72,244,2827911.18,-6.83,29.97
FIN-2023-00042,2023,Q1,2023-Q1,SFTP,Strategic FinTech & Payments Hub,SALES,Global Enterprise Sales & Field Ops,10955434.3,3063098.43,7892335.87,72.04,2107435.24,491418.11,353141.7,2951995.05,4940340.82,5696152.13,51.99,3902869.25,1679580.7,88,2956665.8,-0.16,13.33
FIN-2023-00043,2023,Q1,2023-Q1,SFTP,Strategic FinTech & Payments Hub,MKTG,Global Growth & Brand Marketing,17687316.3,4848436.59,12838879.71,72.59,1698124.23,652685.52,629291.5,2980101.25,9858778.46,10069699.4,56.93,7788434.98,468713.21,382,3146213.49,-5.28,19.08
FIN-2023-00044,2023,Q1,2023-Q1,SFTP,Strategic FinTech & Payments Hub,CSM,Customer Success & Technical Account Mgmt,5777148.21,1820925.53,3956222.68,68.48,756906.86,2428440.69,930615.96,4115963.51,-159740.83,629464.04,10.9,-126195.26,1753788.59,431,3988968.7,3.18,35.39
FIN-2023-00045,2023,Q1,2023-Q1,SFTP,Strategic FinTech & Payments Hub,OPS,Cloud Infrastructure & Network Operations,6989226.84,2292324.97,4696901.87,67.2,546210.64,2087135.79,167654.51,2801000.94,1895900.93,2159816.17,30.9,1497761.73,586478.31,373,3042589.85,-7.94,18.21
FIN-2023-00046,2023,Q1,2023-Q1,SFTP,Strategic FinTech & Payments Hub,GA,Corporate General & Administrative,1823086.22,592669.69,1230416.53,67.49,2360580.68,1065339.23,355776.81,3781696.72,-2551280.19,-1868484.61,-102.49,-2015511.35,1517323.51,371,3761305.03,0.54,25.22
FIN-2023-00047,2023,Q1,2023-Q1,SFTP,Strategic FinTech & Payments Hub,LEGAL,"Legal, Risk & Compliance",4789694.38,1603718.53,3185975.85,66.52,1991197.91,1054543.71,1111372.4,4157114.02,-971138.17,-373155.9,-7.79,-767199.15,1328849.49,303,4178636.55,-0.52,21.47
FIN-2023-00048,2023,Q1,2023-Q1,SFTP,Strategic FinTech & Payments Hub,PROD,Product Strategy & User Experience,1345757.6,262109.12,1083648.48,80.52,2996745.67,1731899.4,1079427.95,5808073.02,-4724424.54,-4543436.35,-337.61,-3732295.39,402195.97,320,5867957.43,-1.02,10.01
FIN-2023-00049,2023,Q1,2023-Q1,PST,Professional Services & Transformation,ENG,Core Engineering & Software R&D,587028.21,180543.62,406484.59,69.24,646198.1,1626020.27,746458.88,3018677.25,-2612192.66,-2437004.41,-415.14,-2063632.2,389307.22,99,2907787.49,3.81,27.23
FIN-2023-00050,2023,Q1,2023-Q1,PST,Professional Services & Transformation,SALES,Global Enterprise Sales & Field Ops,13571303.12,4360107.02,9211196.1,67.87,1184358.82,2433578.75,826610.36,4444547.93,4766648.17,5062774.37,37.3,3765652.05,658058.23,420,4934980.15,-9.94,12.53
FIN-2023-00051,2023,Q1,2023-Q1,PST,Professional Services & Transformation,MKTG,Global Growth & Brand Marketing,9017368.67,2676068.17,6341300.5,70.32,407400.51,2191629.86,623319.9,3222350.27,3118950.23,3572641.11,39.62,2463970.68,1008201.95,213,3573807.43,-9.83,34.04
FIN-2023-00052,2023,Q1,2023-Q1,PST,Professional Services & Transformation,CSM,Customer Success & Technical Account Mgmt,8752184.46,2004828.9,6747355.56,77.09,2274362.68,1976091.14,1108667.3,5359121.12,1388234.44,1461988.54,16.7,1096705.21,163897.99,238,5178232.94,3.49,26.26
FIN-2023-00053,2023,Q1,2023-Q1,PST,Professional Services & Transformation,OPS,Cloud Infrastructure & Network Operations,12958730.51,3680266.99,9278463.52,71.6,2416285.76,2298391.29,242429.23,4957106.28,4321357.24,4784947.07,36.92,3413872.22,1030199.62,277,4874116.61,1.7,10.94
FIN-2023-00054,2023,Q1,2023-Q1,PST,Professional Services & Transformation,GA,Corporate General & Administrative,4475294.7,1544565.58,2930729.12,65.49,407702.95,891520.04,359496.54,1658719.53,1272009.59,1374550.25,30.71,1004887.58,227868.13,76,1580671.63,4.94,33.6
FIN-2023-00055,2023,Q1,2023-Q1,PST,Professional Services & Transformation,LEGAL,"Legal, Risk & Compliance",1875015.26,645470.3,1229544.96,65.58,3115627.19,2260613.47,444840.79,5821081.45,-4591536.49,-4239252.6,-226.09,-3627313.83,782853.1,240,5805195.24,0.27,17.45
FIN-2023-00056,2023,Q1,2023-Q1,PST,Professional Services & Transformation,PROD,Product Strategy & User Experience,676507.05,197313.85,479193.2,70.83,1992672.91,810767.91,284326.13,3087766.95,-2608573.75,-2351808.82,-347.64,-2060773.26,570588.74,93,3037686.07,1.65,8.74
FIN-2023-00057,2023,Q1,2023-Q1,ARDQ,Advanced R&D & Quantum Computing,ENG,Core Engineering & Software R&D,3485288.96,1219188.3,2266100.66,65.02,622156.86,973922.84,749662.55,2345742.25,-79641.59,168306.94,4.83,-62916.86,550996.73,321,2550402.02,-8.02,32.17
FIN-2023-00058,2023,Q1,2023-Q1,ARDQ,Advanced R&D & Quantum Computing,SALES,Global Enterprise Sales & Field Ops,16395204.09,4864972.15,11530231.94,70.33,1584646.79,2404813.31,539483.65,4528943.75,7001288.19,7242038.95,44.17,5531017.67,535001.68,105,4438634.19,2.03,12.7
FIN-2023-00059,2023,Q1,2023-Q1,ARDQ,Advanced R&D & Quantum Computing,MKTG,Global Growth & Brand Marketing,4835677.95,1282358.82,3553319.13,73.48,465019.3,802045.46,310734.73,1577799.49,1975519.64,2022707.99,41.83,1560660.52,104862.99,271,1655825.13,-4.71,27.79
FIN-2023-00060,2023,Q1,2023-Q1,ARDQ,Advanced R&D & Quantum Computing,CSM,Customer Success & Technical Account Mgmt,17326087.34,3971049.91,13355037.43,77.08,1970448.43,2091295.45,628874.05,4690617.93,8664419.5,9033856.6,52.14,6844891.41,820971.33,376,4912367.23,-4.51,20.87
FIN-2023-00061,2023,Q1,2023-Q1,ARDQ,Advanced R&D & Quantum Computing,OPS,Cloud Infrastructure & Network Operations,15215241.62,5139909.49,10075332.13,66.22,2524104.01,658690.08,254793.35,3437587.44,6637744.69,7103979.14,46.69,5243818.31,1036076.55,223,3756924.74,-8.5,10.84
FIN-2023-00062,2023,Q1,2023-Q1,ARDQ,Advanced R&D & Quantum Computing,GA,Corporate General & Administrative,3666557.75,1181211.38,2485346.37,67.78,3124050.34,2481975.92,321707.74,5927734.0,-3442387.63,-3000970.56,-81.85,-2719486.23,980926.82,427,5956926.04,-0.49,35.59
FIN-2023-00063,2023,Q1,2023-Q1,ARDQ,Advanced R&D & Quantum Computing,LEGAL,"Legal, Risk & Compliance",5547064.94,1611105.83,3935959.11,70.96,1082432.35,2482320.51,841881.95,4406634.81,-470675.7,-367054.62,-6.62,-371833.8,230269.06,380,4564402.15,-3.46,23.61
FIN-2023-00064,2023,Q1,2023-Q1,ARDQ,Advanced R&D & Quantum Computing,PROD,Product Strategy & User Experience,5659048.71,1614238.48,4044810.23,71.48,699034.12,1274800.82,234510.77,2208345.71,1836464.52,2279636.59,40.28,1450806.97,984826.83,266,2104365.5,4.94,14.97
FIN-2023-00065,2023,Q2,2023-Q2,ECP,Enterprise Cloud Platform,ENG,Core Engineering & Software R&D,2901843.49,581882.08,2319961.41,79.95,1420058.22,378725.19,852528.4,2651311.81,-331350.4,180183.75,6.21,-261766.82,1136742.56,422,2653512.85,-0.08,20.55
FIN-2023-00066,2023,Q2,2023-Q2,ECP,Enterprise Cloud Platform,SALES,Global Enterprise Sales & Field Ops,3387701.67,1078205.51,2309496.16,68.17,3156197.66,906738.57,847248.46,4910184.69,-2600688.53,-2133229.13,-62.97,-2054543.94,1038798.67,110,4993120.74,-1.66,34.97
FIN-2023-00067,2023,Q2,2023-Q2,ECP,Enterprise Cloud Platform,MKTG,Global Growth & Brand Marketing,16275381.1,4855688.11,11419692.99,70.17,1669824.33,405853.54,942177.46,3017855.33,8401837.66,8519519.37,52.35,6637451.75,261514.9,224,3328857.6,-9.34,19.93
FIN-2023-00068,2023,Q2,2023-Q2,ECP,Enterprise Cloud Platform,CSM,Customer Success & Technical Account Mgmt,17759942.22,3560528.59,14199413.63,79.95,2562517.05,461018.59,920153.27,3943688.91,10255724.72,11032477.62,62.12,8102022.53,1726117.55,151,3920230.48,0.6,21.05
FIN-2023-00069,2023,Q2,2023-Q2,ECP,Enterprise Cloud Platform,OPS,Cloud Infrastructure & Network Operations,12391270.54,4086670.43,8304600.11,67.02,2924060.37,1880840.49,1071799.03,5876699.89,2427900.22,2653131.79,21.41,1918041.17,500514.6,396,5525660.53,6.35,12.58
FIN-2023-00070,2023,Q2,2023-Q2,ECP,Enterprise Cloud Platform,GA,Corporate General & Administrative,986777.72,260003.83,726773.89,73.65,1540440.22,2555455.79,440168.8,4536064.81,-3809290.92,-3552189.47,-359.98,-3009339.83,571336.56,73,4474141.24,1.38,11.42
FIN-2023-00071,2023,Q2,2023-Q2,ECP,Enterprise Cloud Platform,LEGAL,"Legal, Risk & Compliance",869941.88,292551.11,577390.77,66.37,3122004.98,1813290.69,257505.84,5192801.51,-4615410.74,-4040696.69,-464.48,-3646174.48,1277142.34,355,5061518.78,2.59,27.02
FIN-2023-00072,2023,Q2,2023-Q2,ECP,Enterprise Cloud Platform,PROD,Product Strategy & User Experience,1382830.15,265319.08,1117511.07,80.81,1884532.03,1330764.02,490366.08,3705662.13,-2588151.06,-1819296.21,-131.56,-2044639.34,1708566.33,118,3881054.77,-4.52,28.69
FIN-2023-00073,2023,Q2,2023-Q2,AIDS,Artificial Intelligence & Data Solutions,ENG,Core Engineering & Software R&D,5205126.06,1813157.48,3391968.58,65.17,1073214.36,1918975.88,847870.43,3840060.67,-448092.09,90820.41,1.74,-353992.75,1197583.33,247,4209592.61,-8.78,21.62
FIN-2023-00074,2023,Q2,2023-Q2,AIDS,Artificial Intelligence & Data Solutions,SALES,Global Enterprise Sales & Field Ops,5123409.87,1021098.78,4102311.09,80.07,1528866.37,973102.68,1087405.09,3589374.14,512936.95,622535.11,12.15,405220.19,243551.47,204,3429983.84,4.65,24.0
FIN-2023-00075,2023,Q2,2023-Q2,AIDS,Artificial Intelligence & Data Solutions,MKTG,Global Growth & Brand Marketing,5757531.72,1286341.37,4471190.35,77.66,1200564.17,1712152.44,646775.02,3559491.63,911698.72,1383428.93,24.03,720241.99,1048289.36,358,3296825.1,7.97,31.53
FIN-2023-00076,2023,Q2,2023-Q2,AIDS,Artificial Intelligence & Data Solutions,CSM,Customer Success & Technical Account Mgmt,14791488.65,3151686.14,11639802.51,78.69,866915.15,1628689.57,1179070.77,3674675.49,7965127.02,8353277.36,56.47,6292450.35,862556.32,205,3773878.31,-2.63,34.46
FIN-2023-00077,2023,Q2,2023-Q2,AIDS,Artificial Intelligence & Data Solutions,OPS,Cloud Infrastructure & Network Operations,11660989.94,3785319.01,7875670.93,67.54,2366702.94,351852.77,471158.89,3189714.6,4685956.33,5469776.56,46.91,3701905.5,1741822.73,361,2963884.55,7.62,35.73
FIN-2023-00078,2023,Q2,2023-Q2,AIDS,Artificial Intelligence & Data Solutions,GA,Corporate General & Administrative,3449923.87,761127.63,2688796.24,77.94,2960121.2,1948986.45,520083.16,5429190.81,-2740394.57,-2135460.08,-61.9,-2164911.71,1344298.87,208,5800102.11,-6.39,30.03
FIN-2023-00079,2023,Q2,2023-Q2,AIDS,Artificial Intelligence & Data Solutions,LEGAL,"Legal, Risk & Compliance",1193450.19,315988.51,877461.68,73.52,967952.62,2360226.28,1006456.79,4334635.69,-3457174.01,-3163336.53,-265.06,-2731167.47,652972.17,121,4269210.88,1.53,21.49
FIN-2023-00080,2023,Q2,2023-Q2,AIDS,Artificial Intelligence & Data Solutions,PROD,Product Strategy & User Experience,3526430.07,706104.91,2820325.16,79.98,917147.36,2182775.76,161511.98,3261435.1,-441109.94,-158200.68,-4.49,-348476.85,628687.24,202,3466583.12,-5.92,14.44
FIN-2023-00081,2023,Q2,2023-Q2,CZTI,Cybersecurity & Zero-Trust Infrastructure,ENG,Core Engineering & Software R&D,2794111.86,773902.01,2020209.85,72.3,2509980.74,2040666.3,619907.8,5170554.84,-3150344.99,-3014327.36,-107.88,-2488772.54,302261.39,442,5464389.46,-5.38,33.24
FIN-2023-00082,2023,Q2,2023-Q2,CZTI,Cybersecurity & Zero-Trust Infrastructure,SALES,Global Enterprise Sales & Field Ops,18030484.01,4996011.72,13034472.29,72.29,651378.59,1001446.74,520275.35,2173100.68,10861371.61,11589740.35,64.28,8580483.57,1618597.19,134,2308099.61,-5.85,11.9
FIN-2023-00083,2023,Q2,2023-Q2,CZTI,Cybersecurity & Zero-Trust Infrastructure,MKTG,Global Growth & Brand Marketing,6839924.05,1824188.45,5015735.6,73.33,2287629.03,1980493.1,1183251.69,5451373.82,-435638.22,218014.59,3.19,-344154.19,1452561.79,391,5547916.35,-1.74,12.03
FIN-2023-00084,2023,Q2,2023-Q2,CZTI,Cybersecurity & Zero-Trust Infrastructure,CSM,Customer Success & Technical Account Mgmt,13562173.29,3606411.84,9955761.45,73.41,715521.92,2108860.53,549001.3,3373383.75,6582377.7,6867697.21,50.64,5200078.38,634043.35,420,3469228.06,-2.76,30.61
FIN-2023-00085,2023,Q2,2023-Q2,CZTI,Cybersecurity & Zero-Trust Infrastructure,OPS,Cloud Infrastructure & Network Operations,17813877.83,4595852.07,13218025.76,74.2,953230.77,902603.4,607901.13,2463735.3,10754290.46,11442265.97,64.23,8495889.46,1528834.46,122,2609051.64,-5.57,13.12
FIN-2023-00086,2023,Q2,2023-Q2,CZTI,Cybersecurity & Zero-Trust Infrastructure,GA,Corporate General & Administrative,1637640.16,554546.17,1083093.99,66.14,1259480.06,1654864.42,211884.62,3126229.1,-2043135.11,-1687998.57,-103.08,-1614076.74,789192.32,206,2884298.98,8.39,22.95
FIN-2023-00087,2023,Q2,2023-Q2,CZTI,Cybersecurity & Zero-Trust Infrastructure,LEGAL,"Legal, Risk & Compliance",2321098.49,467607.2,1853491.29,79.85,505916.75,2597543.63,737535.33,3840995.71,-1987504.42,-1189818.08,-51.26,-1570128.49,1772636.31,129,4245824.78,-9.53,9.35
FIN-2023-00088,2023,Q2,2023-Q2,CZTI,Cybersecurity & Zero-Trust Infrastructure,PROD,Product Strategy & User Experience,2867676.08,628928.06,2238748.02,78.07,1353819.23,1589153.59,781124.85,3724097.67,-1485349.65,-1296763.67,-45.22,-1173426.22,419079.96,173,3444575.4,8.11,12.41
FIN-2023-00089,2023,Q2,2023-Q2,GHSS,Global Hardware & Semiconductor Systems,ENG,Core Engineering & Software R&D,5438250.73,1124794.81,4313455.92,79.32,1992876.39,1118617.99,1099661.08,4211155.46,102300.46,209047.54,3.84,80817.36,237215.73,191,4287960.53,-1.79,28.39
